question_number,question_text,choices,has_image,gpt-4o_answer,gpt-4o_explanation,gpt-4o_confidence,o1_answer,o1_explanation,o1_confidence,o3-mini_answer,o3-mini_explanation,o3-mini_confidence,claude_answer,claude_explanation,claude_confidence,gemini_answer,gemini_explanation,gemini_confidence
119D1,119D注意欠如多動性障害〈注意欠如多動症〉〈ADHD〉で正しいのはどれか。 ,a. こだわりが強い。 | b. 知能低下を伴う。 | c. 独り遊びが多い。 | d. 衝動的行動を認める。 | e. 多動は次第に悪化する。,False,d,注意欠如多動性障害（adhd）の主な特徴は不注意、多動性、衝動性です。「衝動的行動を認める」はadhdの典型的な症状のひとつであり、これは正解です。他の選択肢はadhdの特徴とは異なります。,1.0,d,adhdは注意欠如、多動性に加えて衝動的行動が特徴的であるため。,1.0,d,adhdは主に不注意、多動性、衝動性が特徴であり、特に衝動的行動はよく認められるため。その他の選択肢はadhdの特徴として正しくない。,1.0,d,adhdの3つの主要な症状は、「不注意」「多動性」「衝動性」です。衝動的行動は典型的な中核症状の1つです。一方、こだわりの強さは自閉症スペクトラム症の特徴で、知能低下は必須症状ではなく、独り遊びの多さはむしろ自閉症的特徴です。また、多動症状は一般的に年齢とともに改善傾向を示し、悪化することは典型的ではありません。,0.9,d,注意欠如多動性障害（adhd）の中核症状は、不注意、多動性、衝動性です。衝動的行動はadhdの重要な特徴であり、他の選択肢はadhdの典型的な症状ではありません。,0.9
119D2,心不全精査目的の心臓カテーテル検査の左右心室圧波形(別冊No.1)を別に示す。考えられる疾患はどれか。 ,a. 急性心筋炎 | b. 収縮性心膜炎 | c. 肥大型心筋症 | d. 大動脈弁狭窄症 | e. 大動脈弁閉鎖不全症,True,b,the waveform may display a dip-and-plateau pattern typically seen in constrictive pericarditis.,0.7,b,左右室ともに急速な拡張早期の圧下降と続く平坦なプラトーを示すいわゆるdip and plateau形態は、収縮性心膜炎に特徴的な所見である。,0.9,b,収縮性心膜炎では、左右心室ともに拡張末期圧がほぼ同等となり、初期急速な充填期の圧力低下後、すぐに平坦化する「dip and plateau（スクエアルートサイン）」パターンが心カテーテル検査で認められるため。,1.0,b,"左右心室の圧波形が特徴的な""dip and plateau""パターン（早期拡張期の急速な圧低下後の平坦化）を示し、また左右心室の拡張末期圧が近似している（心室圧の平衡化）ことから、収縮性心膜炎に特徴的な所見です。これは心膜の線維化・石灰化により心臓の拡張が制限されることによって生じます。",0.9,b,左右心室圧波形が一致しており、拡張早期の急峻な低下とplateauを認めるため、収縮性心膜炎が考えられる。,0.9
119D3,下行結腸癌に対する腹腔鏡下手術の周術期管理で誤っているのはどれか。 ,a. 手術前4週間以上の禁煙 | b. 術前日の非吸収性抗菌薬の内服 | c. 術後72時間以上のベッド上安静 | d. 手術室搬入2時間前の浣腸排便処置 | e. 手術室搬入3時間前までの経口補水液摂取,False,c,"下行結腸癌に対する腹腔鏡下手術の周術期管理において、早期の離床や運動は術後合併症の予防（例えば、血栓症や肺炎）に有効であるため、術後72時間以上のベッド上安静は誤った管理方法です。他の選択肢（a, b, d, e）は一般的に周術期管理として推奨される内容です。",0.9,c,術後は早期離床が推奨されており、72時間以上のベッド上安静は誤っているため。,1.0,c,現在の周術期管理（eras）の考え方では、術後は早期の離床・動員が推奨されるため、72時間以上のベッド上安静は不適切な管理となるからです。,1.0,c,術後72時間以上のベッド上安静は誤りです。現代の周術期管理では、早期離床（enhanced recovery after surgery: eras）が推奨されており、術後の合併症予防と回復促進のため、可能な限り早期（術後24時間以内）から離床を開始します。長期のベッド上安静は、深部静脈血栓症や肺塞栓症のリスクを高め、筋力低下や腸管蠕動の低下を引き起こす可能性があります。,0.9,c,術後早期離床は回復を促進するため、72時間以上の安静は誤り。,1.0
119D4,食中毒の予防で加熱が最も有効なのはどれか。 ,a. Bacillus cereus | b. Campylobacter jejuni | c. Clostridium botulinum | d. Clostridium perfringense | e. Staphylococcus aureus,False,c,clostridium botulinum（ボツリヌス菌）の芽胞は耐熱性があり、食品の加熱処理が効果的とされています。他の選択肢の菌は加熱により除去可能ですが、特にclostridium botulinumは毒素も含めて加熱で対処が求められます。,0.9,b,campylobacter jejuniは加熱によって死滅しやすいため、加熱による予防効果が最も高い。,1.0,b,"campylobacter jejuni is a heat‐labile organism that is effectively inactivated by proper thorough cooking, making heat treatment the most effective preventive measure for its associated food poisoning.",1.0,b,"campylobacter jejuniは比較的低温の加熱（60℃、数分）で死滅する熱感受性の高い細菌です。一方、他の選択肢の菌は芽胞を形成するもの（a, c, d）や、耐熱性毒素を産生するもの（e）であり、単純な加熱では完全な予防が困難です。",0.9,b,campylobacter jejuni は加熱により容易に死滅するため、加熱が最も有効な予防法となる。他の選択肢の菌は、芽胞形成や毒素の耐熱性などの理由で、加熱だけでは予防が難しい場合がある。,0.9
119D5,膀胱鏡検査をする体位で、最も適切なのはどれか。 ,a. 立位 | b. 座位 | c. 腹臥位 | d. 側臥位 | e. 砕石位,False,e,膀胱鏡検査を行う際には、通常、患者は砕石位（リトトミー位）に置かれます。これは、検査や手術のための標準的な体位であり、膀胱や尿道へのアクセスが容易になるためです。他の選択肢の体位は膀胱鏡検査には適していません。,1.0,e,膀胱鏡検査は通常、砕石位で行われるため。,1.0,e,砕石位（リトトミー・ポジション）が膀胱鏡検査では最も一般的で、尿道・膀胱へのアクセスや視認性が良いため選択されるからです。,1.0,e,膀胱鏡検査は砕石位で行うのが標準的です。砕石位は尿道口へのアクセスが容易で、検査者の操作性が最も良く、患者の安定性も確保できます。また、必要に応じて処置も行いやすい体位です。,0.95,e,膀胱鏡検査は、通常、砕石位で行われます。この体位は、検査器具の挿入と操作を容易にするため、骨盤領域へのアクセスを最適化します。,1.0
119D6,大腿骨頭壊死症と関連が深い疾患はどれか。 ,a. 胃潰瘍 | b. 狭心症 | c. 全身性エリテマトーデス〈SLE〉 | d. 糖尿病 | e. 肺結核,False,c,大腿骨頭壊死症は、血流障害により骨の組織が壊死する病気であり、全身性エリテマトーデス〈sle〉はその原因となることが知られています。特にsleではステロイドの使用が関与していることも多いです。したがって、関連が深い疾患としてc. 全身性エリテマトーデス〈sle〉を選択しました。,0.9,c,ステロイド治療を必要とすることが多い全身性エリテマトーデス(sle)では、大腿骨頭壊死症との関連が高いことが知られている。,0.9,c,全身性エリテマトーデス（sle）は、高用量の副腎皮質ステロイド治療を行うことが多いため、大腿骨頭壊死症のリスクが高まります。,1.0,c,全身性エリテマトーデス（sle）は、ステロイド治療を必要とする自己免疫疾患であり、ステロイド使用による副作用として大腿骨頭壊死症を引き起こすリスクが高いことが知られています。また、sle自体の血管炎による血流障害も骨壊死のリスク因子となります。,0.9,c,大腿骨頭壊死は、ステロイドの使用や膠原病（全身性エリテマトーデスなど）と関連が深い。,0.9
119D7,3歳児健康診査で難聴が疑われた児に実施する精密検査で適切なのはどれか。 ,a. 語音聴力検査 | b. 自記オージオメトリ | c. 純音聴力検査 | d. 聴性脳幹反応〈ABR〉 | e. ティンパノメトリ,False,d,3歳児の難聴の疑いを評価するためには、年齢や協力度を考慮する必要があります。聴性脳幹反応（abr）は、対象者が自発的に答える必要がなく、聴覚経路や聴神経の反応を客観的に評価できるため、特に幼児の聴覚検査において適しています。他の選択肢は、年齢の制約や協力が必要な点で3歳児には難しい場合があります。,0.9,d,3歳児で正確な聴力評価を行うためには客観的に測定できる聴性脳幹反応(abr)が適しているため。,1.0,d,3歳児は言葉を使った聴力検査や自己記録型の検査が難しいため、被検者の協力度に大きく左右されない客観的検査である聴性脳幹反応（abr）が精密検査として適切である。,1.0,d,3歳児の場合、純音聴力検査や語音聴力検査は年齢的に協力が得られにくく、正確な結果を得ることが困難です。abrは他覚的検査法で、患者の意識や協力に関係なく聴力を評価できる最も信頼性の高い検査方法です。特に小児の難聴精密検査においては標準的な検査として用いられています。,0.9,d,3歳児の難聴精査では、客観的な聴力検査であるabrが有用。語音聴力検査は、ある程度言語発達が進んでいないと難しい。自記オージオメトリ、純音聴力検査は、 cooper法などを用いても3歳児には困難な場合が多い。ティンパノメトリは中耳の状態を知る上で有用だが、聴力を直接評価する方法ではない。,0.9
119D8,出血症状と疾患の組合せで誤っているのはどれか。 ,a. 鼻出血 - von Willerand病 | b. 過多月経 - ヘパリン起因性血小板減少症 | c. 歯肉出血 - 急性前骨髄球性白血病 | d. 点状出血 - 免疫性血小板减少症 | e. 関節内出血 - 血友病,False,b,ヘパリン起因性血小板減少症は、血小板の減少により出血傾向を呈することがあるが、過多月経が典型的な症状として現れることは少ない。むしろ関節内出血は血友病に関連しており、他の組み合わせは病態と一致しているため、bが誤った組み合わせと考えられる。,0.9,b,ヘパリン起因性血小板減少症は血栓性合併症が主で、過多月経は典型的な出血症状ではないため誤り。,1.0,b,ヘパリン起因性血小板減少症は血栓症を主たる合併症とする病態であり、過多月経のような出血症状は一般的でないため。,1.0,b,ヘパリン起因性血小板減少症（hit）の主な症状は、血栓形成が特徴的で、出血症状（特に過多月経）は一般的ではありません。他の組み合わせは全て正しい典型的な症状と疾患の関係です（von willerand病の鼻出血、aplの歯肉出血、itpの点状出血、血友病の関節内出血）。,0.9,b,ヘパリン起因性血小板減少症（hit）は血栓症を引き起こしやすく、出血症状はむしろ稀である。過多月経は、von willebrand病、血小板機能異常、凝固因子欠乏症などで見られる。,1.0
119D9,死後に移植のために眼球を提供できる疾患はどれか。 ,a. 乳癌 | b. 敗血症 | c. 白血病 | d. B型肝炎 | e. Creutzfeldt-Jakob病,False,a,眼球提供の際、神経疾患や感染症のリスクがある疾患は禁止されることが多い。creutzfeldt-jakob病や血液感染のリスクがあるb型肝炎、感染可能な敗血症や白血病は除外される可能性が高い。しかし、乳癌のような直接感染のリスクが低い癌は眼球提供が可能な場合がある。,0.8,a,乳癌は移植用角膜のドナーとしての絶対的禁忌に該当せず、他の選択肢に比べて提供が可能であるため。,0.9,a,眼球（特に角膜）は無血管組織であり、固形腫瘍のうち眼への転移リスクが低い乳癌は、他の感染症（敗血症、b型肝炎、creutzfeldt‐jakob病）や血液性悪性腫瘍（白血病）と比べ、眼球提供の適用対象とされるためです。,1.0,a,眼球提供の禁忌となるのは、感染症（敗血症、b型肝炎）、血液の悪性腫瘍（白血病）、プリオン病（creutzfeldt-jakob病）です。乳癌は全身転移がない限り、眼球提供が可能な疾患です。他の選択肢は全て、感染や疾患の伝播リスクがあるため禁忌とされています。,0.9,a,眼球移植は、全身性の感染症や悪性腫瘍（ただし、脳腫瘍や眼球自体に発生した腫瘍は禁忌）がない場合に可能です。乳癌は全身に転移していなければ眼球提供可能です。敗血症、白血病、b型肝炎、クロイツフェルト・ヤコブ病は禁忌です。,0.9
119D10,骨髄血塗抹May-Giemsa染色標本(別冊No.2)を別に示す。この患者にみられる染色体異常はどれか。 ,a. t(4;14) | b. t(8;21) | c. t(9;22) | d. t(15;17) | e. t(16;16),True,,,,b,写真はm2型急性骨髄性白血病に典型的な形態を示し，t(8;21) (aml1-eto) が特徴的であるため。,0.9,d,"t(15;17) is characteristically associated with acute promyelocytic leukemia (apl), which typically shows promyelocytes with abundant granules and auer rods on may-giemsa stained bone marrow smears.",1.0,b,示された骨髄血塗抹標本はaml-m2（急性骨髄性白血病m2型）に特徴的な所見を示しており、この病型では高頻度でt(8;21)(q22;q22)染色体転座が認められます。この転座はaml1-eto融合遺伝子を形成し、aml-m2の代表的な染色体異常です。,0.9,d,骨髄血塗抹may-giemsa染色標本から、アウエル小体を持つ白血病細胞が確認できる。アウエル小体は急性前骨髄球性白血病（apl）に特徴的であり、aplではt(15;17)の染色体異常が見られる。,0.9
