question_number,model,model_answer,correct_answer,is_correct,confidence,has_image,block,is_general,is_required,score,possible
119A1,openrouter-qwen/qwen-2.5-72b-instruct:free,a,a,True,0.9,False,A,True,False,1,1
119A2,openrouter-qwen/qwen-2.5-72b-instruct:free,a,a,True,0.95,False,A,True,False,1,1
119A3,openrouter-qwen/qwen-2.5-72b-instruct:free,d,d,True,1.0,False,A,True,False,1,1
119A4,openrouter-qwen/qwen-2.5-72b-instruct:free,b,e,False,1.0,False,A,True,False,0,1
119A5,openrouter-qwen/qwen-2.5-72b-instruct:free,b,b,True,1.0,False,A,True,False,1,1
119A6,openrouter-qwen/qwen-2.5-72b-instruct:free,a,a,True,0.9,False,A,True,False,1,1
119A7,openrouter-qwen/qwen-2.5-72b-instruct:free,e,e,True,1.0,False,A,True,False,1,1
119A8,openrouter-qwen/qwen-2.5-72b-instruct:free,e,e,True,1.0,False,A,True,False,1,1
119A9,openrouter-qwen/qwen-2.5-72b-instruct:free,d,d,True,1.0,False,A,True,False,1,1
119A10,openrouter-qwen/qwen-2.5-72b-instruct:free,a,a,True,1.0,False,A,True,False,1,1
119A11,openrouter-qwen/qwen-2.5-72b-instruct:free,b,b,True,0.9,True,A,True,False,1,1
119A12,openrouter-qwen/qwen-2.5-72b-instruct:free,ce,ce,True,1.0,False,A,True,False,1,1
119A13,openrouter-qwen/qwen-2.5-72b-instruct:free,cd,cd,True,0.95,False,A,True,False,1,1
119A14,openrouter-qwen/qwen-2.5-72b-instruct:free,de,de,True,1.0,False,A,True,False,1,1
119A15,openrouter-qwen/qwen-2.5-72b-instruct:free,e,a,False,0.85,True,A,True,False,0,1
119A16,openrouter-qwen/qwen-2.5-72b-instruct:free,c,d,False,0.9,False,A,True,False,0,1
119A17,openrouter-qwen/qwen-2.5-72b-instruct:free,c,c,True,0.9,False,A,True,False,1,1
119A18,openrouter-qwen/qwen-2.5-72b-instruct:free,b,b,True,0.9,True,A,True,False,1,1
119A19,openrouter-qwen/qwen-2.5-72b-instruct:free,b,d,False,0.95,False,A,True,False,0,1
119A20,openrouter-qwen/qwen-2.5-72b-instruct:free,a,a,True,1.0,True,A,True,False,1,1
119A21,openrouter-qwen/qwen-2.5-72b-instruct:free,a,a,True,0.9,True,A,True,False,1,1
119A22,openrouter-qwen/qwen-2.5-72b-instruct:free,d,c,False,0.8,True,A,True,False,0,1
119A23,openrouter-qwen/qwen-2.5-72b-instruct:free,b,b,True,0.9,True,A,True,False,1,1
119A24,openrouter-qwen/qwen-2.5-72b-instruct:free,e,e,True,0.95,True,A,True,False,1,1
119A25,openrouter-qwen/qwen-2.5-72b-instruct:free,e,e,True,0.8,False,A,True,False,1,1
119A26,openrouter-qwen/qwen-2.5-72b-instruct:free,a,a,True,1.0,False,A,True,False,1,1
119A27,openrouter-qwen/qwen-2.5-72b-instruct:free,e,e,True,1.0,False,A,True,False,1,1
119A28,openrouter-qwen/qwen-2.5-72b-instruct:free,e,e,True,0.9,True,A,True,False,1,1
119A29,openrouter-qwen/qwen-2.5-72b-instruct:free,d,d,True,0.85,True,A,True,False,1,1
119A30,openrouter-qwen/qwen-2.5-72b-instruct:free,c,c,True,0.9,False,A,True,False,1,1
119A31,openrouter-qwen/qwen-2.5-72b-instruct:free,d,d,True,1.0,False,A,True,False,1,1
119A32,openrouter-qwen/qwen-2.5-72b-instruct:free,d,d,True,0.9,False,A,True,False,1,1
119A33,openrouter-qwen/qwen-2.5-72b-instruct:free,c,c,True,0.9,True,A,True,False,1,1
119A34,openrouter-qwen/qwen-2.5-72b-instruct:free,b,b,True,0.85,True,A,True,False,1,1
119A35,openrouter-qwen/qwen-2.5-72b-instruct:free,a,a,True,0.9,True,A,True,False,1,1
119A36,openrouter-qwen/qwen-2.5-72b-instruct:free,a,e,False,1.0,False,A,True,False,0,1
119A37,openrouter-qwen/qwen-2.5-72b-instruct:free,b,b,True,1.0,True,A,True,False,1,1
119A38,openrouter-qwen/qwen-2.5-72b-instruct:free,d,d,True,0.85,True,A,True,False,1,1
119A39,openrouter-qwen/qwen-2.5-72b-instruct:free,e,e,True,0.9,False,A,True,False,1,1
119A40,openrouter-qwen/qwen-2.5-72b-instruct:free,a,a,True,0.9,False,A,True,False,1,1
119A41,openrouter-qwen/qwen-2.5-72b-instruct:free,b,b,True,0.9,False,A,True,False,1,1
119A42,openrouter-qwen/qwen-2.5-72b-instruct:free,de,e,False,0.95,False,A,True,False,0,1
119A43,openrouter-qwen/qwen-2.5-72b-instruct:free,b,b,True,0.9,True,A,True,False,1,1
119A44,openrouter-qwen/qwen-2.5-72b-instruct:free,c,e,False,0.8,False,A,True,False,0,1
119A45,openrouter-qwen/qwen-2.5-72b-instruct:free,c,c,True,0.85,False,A,True,False,1,1
119A46,openrouter-qwen/qwen-2.5-72b-instruct:free,d,d,True,0.95,False,A,True,False,1,1
119A47,openrouter-qwen/qwen-2.5-72b-instruct:free,b,b,True,1.0,False,A,True,False,1,1
119A48,openrouter-qwen/qwen-2.5-72b-instruct:free,a,e,False,0.9,True,A,True,False,0,1
119A49,openrouter-qwen/qwen-2.5-72b-instruct:free,d,d,True,0.95,True,A,True,False,1,1
119A50,openrouter-qwen/qwen-2.5-72b-instruct:free,c,c,True,0.9,True,A,True,False,1,1
119A51,openrouter-qwen/qwen-2.5-72b-instruct:free,d,e,False,0.85,True,A,True,False,0,1
