question_number,model,model_answer,correct_answer,is_correct,confidence,block
119A1,gemini-2.5-pro,a,a,True,0.9,A
119A2,gemini-2.5-pro,a,a,True,0.9,A
119A3,gemini-2.5-pro,d,d,True,1.0,A
119A4,gemini-2.5-pro,e,e,True,0.9,A
119A5,gemini-2.5-pro,b,b,True,1.0,A
119A6,gemini-2.5-pro,a,a,True,0.95,A
119A7,gemini-2.5-pro,e,e,True,1.0,A
119A8,gemini-2.5-pro,e,e,True,1.0,A
119A9,gemini-2.5-pro,d,d,True,0.95,A
119A10,gemini-2.5-pro,a,a,True,1.0,A
119A11,gemini-2.5-pro,b,b,True,0.9,A
119A12,gemini-2.5-pro,ce,ce,True,1.0,A
119A13,gemini-2.5-pro,cd,cd,True,1.0,A
119A14,gemini-2.5-pro,de,de,True,1.0,A
119A15,gemini-2.5-pro,a,a,True,1.0,A
119A16,gemini-2.5-pro,d,d,True,1.0,A
119A17,gemini-2.5-pro,c,c,True,0.9,A
119A18,gemini-2.5-pro,b,b,True,0.9,A
119A19,gemini-2.5-pro,b,d,False,1.0,A
119A20,gemini-2.5-pro,a,a,True,1.0,A
119A21,gemini-2.5-pro,a,a,True,0.9,A
119A22,gemini-2.5-pro,c,c,True,0.95,A
119A23,gemini-2.5-pro,b,b,True,1.0,A
119A24,gemini-2.5-pro,e,e,True,1.0,A
119A25,gemini-2.5-pro,e,e,True,1.0,A
119A26,gemini-2.5-pro,a,a,True,1.0,A
119A27,gemini-2.5-pro,e,e,True,1.0,A
119A28,gemini-2.5-pro,e,e,True,1.0,A
119A29,gemini-2.5-pro,d,d,True,1.0,A
119A30,gemini-2.5-pro,c,c,True,1.0,A
119A31,gemini-2.5-pro,d,d,True,1.0,A
119A32,gemini-2.5-pro,d,d,True,1.0,A
119A33,gemini-2.5-pro,c,c,True,1.0,A
119A34,gemini-2.5-pro,b,b,True,0.9,A
119A35,gemini-2.5-pro,a,a,True,1.0,A
119A36,gemini-2.5-pro,e,e,True,1.0,A
119A37,gemini-2.5-pro,b,b,True,1.0,A
119A38,gemini-2.5-pro,d,d,True,1.0,A
119A39,gemini-2.5-pro,e,e,True,1.0,A
119A40,gemini-2.5-pro,a,a,True,1.0,A
119A41,gemini-2.5-pro,b,b,True,0.9,A
119A42,gemini-2.5-pro,e,e,True,1.0,A
119A43,gemini-2.5-pro,b,b,True,1.0,A
119A44,gemini-2.5-pro,e,e,True,0.9,A
119A45,gemini-2.5-pro,c,c,True,1.0,A
119A46,gemini-2.5-pro,d,d,True,1.0,A
119A47,gemini-2.5-pro,b,b,True,1.0,A
119A48,gemini-2.5-pro,e,e,True,1.0,A
119A49,gemini-2.5-pro,d,d,True,1.0,A
119A50,gemini-2.5-pro,c,c,True,0.95,A
119A51,gemini-2.5-pro,e,e,True,0.95,A
119A52,gemini-2.5-pro,d,d,True,1.0,A
119A53,gemini-2.5-pro,c,c,True,0.9,A
119A54,gemini-2.5-pro,d,d,True,0.95,A
119A55,gemini-2.5-pro,a,a,True,1.0,A
119A56,gemini-2.5-pro,a,a,True,1.0,A
119A57,gemini-2.5-pro,c,c,True,1.0,A
