question_number,model,model_answer,correct_answer,is_correct,confidence
119E1,gemini-2.5-pro,d,d,True,1.0
119E2,gemini-2.5-pro,c,c,True,1.0
119E3,gemini-2.5-pro,e,e,True,1.0
119E4,gemini-2.5-pro,b,b,True,1.0
119E5,gemini-2.5-pro,a,a,True,1.0
119E6,gemini-2.5-pro,a,a,True,1.0
119E7,gemini-2.5-pro,b,b,True,1.0
119E8,gemini-2.5-pro,d,d,True,1.0
119E9,gemini-2.5-pro,e,e,True,1.0
119E10,gemini-2.5-pro,a,a,True,0.95
119E11,gemini-2.5-pro,e,e,True,1.0
119E12,gemini-2.5-pro,e,e,True,0.8
119E13,gemini-2.5-pro,e,e,True,1.0
119E14,gemini-2.5-pro,a,a,True,0.9
119E15,gemini-2.5-pro,c,c,True,1.0
119E16,gemini-2.5-pro,e,e,True,1.0
119E17,gemini-2.5-pro,a,a,True,1.0
119E18,gemini-2.5-pro,d,d,True,0.9
119E19,gemini-2.5-pro,e,e,True,1.0
119E20,gemini-2.5-pro,d,d,True,1.0
119E21,gemini-2.5-pro,e,e,True,1.0
119E22,gemini-2.5-pro,a,a,True,0.9
119E23,gemini-2.5-pro,a,a,True,1.0
119E24,gemini-2.5-pro,e,e,True,1.0
119E25,gemini-2.5-pro,d,d,True,1.0
119E26,gemini-2.5-pro,b,b,True,1.0
119E27,gemini-2.5-pro,d,d,True,1.0
119E28,gemini-2.5-pro,a,ac,True,1.0
119E29,gemini-2.5-pro,b,b,True,1.0
119E30,gemini-2.5-pro,b,b,True,1.0
119E31,gemini-2.5-pro,e,e,True,1.0
119E32,gemini-2.5-pro,d,d,True,0.95
119E33,gemini-2.5-pro,c,c,True,1.0
119E34,gemini-2.5-pro,e,e,True,1.0
119E35,gemini-2.5-pro,d,d,True,1.0
119E36,gemini-2.5-pro,e,e,True,1.0
119E37,gemini-2.5-pro,c,c,True,1.0
119E38,gemini-2.5-pro,c,c,True,0.95
119E39,gemini-2.5-pro,e,e,True,1.0
119E40,gemini-2.5-pro,b,b,True,1.0
119E41,gemini-2.5-pro,a,a,True,1.0
119E42,gemini-2.5-pro,e,e,True,1.0
119E43,gemini-2.5-pro,c,c,True,1.0
119E44,gemini-2.5-pro,e,e,True,1.0
119E45,gemini-2.5-pro,e,e,True,1.0
119E46,gemini-2.5-pro,e,e,True,1.0
119E47,gemini-2.5-pro,e,e,True,0.9
119E48,gemini-2.5-pro,e,e,True,0.9
119E49,gemini-2.5-pro,e,e,True,1.0
119E50,gemini-2.5-pro,c,c,True,1.0
