question_number,model,model_answer,correct_answer,is_correct,confidence
119F1,gemini-2.5-pro,a,a,True,1.0
119F2,gemini-2.5-pro,a,a,True,1.0
119F3,gemini-2.5-pro,d,d,True,0.95
119F4,gemini-2.5-pro,a,a,True,1.0
119F5,gemini-2.5-pro,e,e,True,1.0
119F6,gemini-2.5-pro,e,e,True,1.0
119F7,gemini-2.5-pro,a,a,True,1.0
119F8,gemini-2.5-pro,a,a,True,1.0
119F9,gemini-2.5-pro,b,b,True,1.0
119F10,gemini-2.5-pro,b,b,True,0.9
119F11,gemini-2.5-pro,e,e,True,1.0
119F12,gemini-2.5-pro,d,d,True,1.0
119F13,gemini-2.5-pro,c,c,True,1.0
119F14,gemini-2.5-pro,c,c,True,1.0
119F15,gemini-2.5-pro,d,d,True,1.0
119F16,gemini-2.5-pro,b,b,True,1.0
119F17,gemini-2.5-pro,b,b,True,0.9
119F18,gemini-2.5-pro,c,c,True,1.0
119F19,gemini-2.5-pro,c,c,True,1.0
119F20,gemini-2.5-pro,b,b,True,1.0
119F21,gemini-2.5-pro,e,e,True,1.0
119F22,gemini-2.5-pro,b,b,True,1.0
119F23,gemini-2.5-pro,e,e,True,0.9
119F24,gemini-2.5-pro,e,e,True,1.0
119F25,gemini-2.5-pro,a,a,True,1.0
119F26,gemini-2.5-pro,a,a,True,1.0
119F27,gemini-2.5-pro,a,a,True,1.0
119F28,gemini-2.5-pro,bd,bd,True,0.95
119F29,gemini-2.5-pro,ab,ab,True,1.0
119F30,gemini-2.5-pro,ac,ac,True,0.95
119F31,gemini-2.5-pro,ad,ad,True,1.0
119F32,gemini-2.5-pro,ce,ce,True,0.9
119F33,gemini-2.5-pro,ae,ae,True,1.0
119F34,gemini-2.5-pro,bce,bce,True,1.0
119F35,gemini-2.5-pro,bde,bde,True,1.0
119F36,gemini-2.5-pro,d,d,True,1.0
119F37,gemini-2.5-pro,b,b,True,0.9
119F38,gemini-2.5-pro,e,e,True,1.0
119F39,gemini-2.5-pro,c,c,True,1.0
119F40,gemini-2.5-pro,a,a,True,1.0
119F41,gemini-2.5-pro,c,c,True,0.9
119F42,gemini-2.5-pro,c,c,True,1.0
119F43,gemini-2.5-pro,a,a,True,1.0
119F44,gemini-2.5-pro,e,e,True,1.0
119F45,gemini-2.5-pro,d,d,True,0.9
119F46,gemini-2.5-pro,a,a,True,0.9
119F47,gemini-2.5-pro,b,c,False,1.0
119F48,gemini-2.5-pro,e,e,True,1.0
119F49,gemini-2.5-pro,d,d,True,1.0
119F50,gemini-2.5-pro,c,c,True,1.0
119F51,gemini-2.5-pro,c,c,True,1.0
119F52,gemini-2.5-pro,a,a,True,1.0
119F53,gemini-2.5-pro,a,a,True,0.95
119F54,gemini-2.5-pro,d,d,True,1.0
119F55,gemini-2.5-pro,d,d,True,0.95
119F56,gemini-2.5-pro,be,be,True,1.0
119F57,gemini-2.5-pro,bd,bd,True,0.9
119F58,gemini-2.5-pro,bc,bc,True,0.9
119F59,gemini-2.5-pro,bc,bc,True,0.9
119F60,gemini-2.5-pro,de,de,True,1.0
119F61,gemini-2.5-pro,cd,cd,True,1.0
119F62,gemini-2.5-pro,c,c,True,1.0
119F63,gemini-2.5-pro,a,a,True,1.0
119F64,gemini-2.5-pro,e,e,True,1.0
119F65,gemini-2.5-pro,c,c,True,1.0
119F66,gemini-2.5-pro,cd,cd,True,1.0
119F67,gemini-2.5-pro,ae,ce,False,0.8
119F68,gemini-2.5-pro,c,c,True,0.9
119F69,gemini-2.5-pro,d,d,True,1.0
119F70,gemini-2.5-pro,b,b,True,1.0
119F71,gemini-2.5-pro,d,e,False,0.9
119F72,gemini-2.5-pro,b,b,True,1.0
119F73,gemini-2.5-pro,e,e,True,1.0
119F74,gemini-2.5-pro,d,d,True,1.0
119F75,gemini-2.5-pro,40,40,True,1.0
