question_number,model,model_answer,correct_answer,is_correct,confidence,has_image,block,is_general,is_required,score,possible
119A1,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,c,a,False,1.0,False,A,True,False,0,1
119A3,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,c,d,False,1.0,False,A,True,False,0,1
119A4,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,b,e,False,0.861392857142857,False,A,True,False,0,1
119A6,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,af,a,False,0.98,False,A,True,False,0,1
119A15,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,b,a,False,0.92,True,A,True,False,0,1
119A16,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,a,d,False,0.8162,False,A,True,False,0,1
119A22,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,d,c,False,0.962583384171449,True,A,True,False,0,1
119A25,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,[選んだ回答(単数/複数/数値)],e,False,0.0,False,A,True,False,0,1
119A31,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,c,d,False,0.85,False,A,True,False,0,1
119A33,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,d,c,False,1.0,True,A,True,False,0,1
119A35,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,d,a,False,1.0,True,A,True,False,0,1
119A36,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,a,e,False,0.95,False,A,True,False,0,1
119A41,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,c,b,False,0.816935217,False,A,True,False,0,1
119A42,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,d,e,False,1.0,False,A,True,False,0,1
119A43,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,[選んだ回答(単数/複数/数値)],b,False,0.0,True,A,True,False,0,1
119A45,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,e,c,False,1.0,False,A,True,False,0,1
119A48,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,c,e,False,1.0,True,A,True,False,0,1
119A50,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,[選んだ回答(単数/複数/数値)],c,False,0.0,True,A,True,False,0,1
119A51,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,a,e,False,1.0,True,A,True,False,0,1
