question_number,question_text,choices,o1_answer,o1_explanation,o1_confidence,gpt-4o_answer,gpt-4o_explanation,gpt-4o_confidence,o3-mini_answer,o3-mini_explanation,o3-mini_confidence,gemini_answer,gemini_explanation,gemini_confidence,deepseek_answer,deepseek_explanation,claude_answer,claude_explanation,claude_confidence,deepseek_confidence
119A1,自己免疫性膵炎で誤っているのはどれか ,a. 膵の萎縮を認める。 | b. 高齢男性に好発する。 | c. 病理で線維化を認める。 | d. IgG4関連疾患に含まれる。 | e. 治療はグルココルチコイド投与が第一選択である。,a,自己免疫性膵炎では典型的に膵のびまん性もしくは限局性の腫大を認め、萎縮は特徴的所見ではないため誤りとなる。,0.9,a,自己免疫性膵炎は膵の腫大を認めることが多く、萎縮を認めることはない。高齢男性によく見られ、igg4関連疾患に含まれ、病理的には線維化を伴うことがあり、治療としてはグルココルチコイドが一般的に使用される。よって、誤っている選択肢はaである。,0.9,a,自己免疫性膵炎は、通常、膵が拡大（“ソーセージ状”など）するのが特徴であり、また高齢男性に好発し、病理では線維化が認められ、igg4関連疾患の一つとされ、グルココルチコイド投与が第一選択です。従って、「膵の萎縮を認める」という選択肢aが誤りです.,1.0,a,自己免疫性膵炎では、膵の腫大を認めることが多い。萎縮は慢性膵炎などで見られる所見。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),a,自己免疫性膵炎では、膵臓は萎縮ではなく、むしろびまん性に腫大することが特徴的です。他の選択肢は全て正しい特徴で、高齢男性に多く、病理学的には著明な線維化を伴い、igg4関連疾患の代表的な症状の一つであり、ステロイド治療が著効します。,0.9,
119A2,パソコンで長時間の作業をする若年労働者に生じやすい、頸部痛と上肢のしびれをきたす疾患はどれか。 ,a. 頸肩腕障害 | b. 肩関節周囲炎 | c. 肘部管症候群 | d. 変形性頸椎症 | e. 頸椎後縦靱帯骨化症,a,長時間のvdt作業によって起こりやすい頸部や上肢の障害であり、若年層でも発症しやすいため。,1.0,a,若年労働者がパソコン作業で長時間同じ姿勢を維持すると、頸部周辺の筋肉が過緊張を起こし、頸肩腕障害と呼ばれる頸部痛や腕のしびれを引き起こすことが一般的です。他の選択肢は、通常、中高年層や特定の動作により問題を生じることが多いです。,0.9,a,長時間のパソコン作業による姿勢の悪さや筋肉の過負荷が原因で起こる頸肩腕障害は、頸部痛や上肢のしびれの原因として若年労働者に生じやすい疾患です。,1.0,a,長時間パソコン作業による頸部痛と上肢のしびれは、頸肩腕障害の典型的な症状である。他の選択肢は、加齢に伴う変性疾患や神経圧迫による特定の部位の症状が主である。,0.9,a,頸肩腕障害は、長時間のパソコン作業による不良姿勢や反復動作が原因で、頸部痛や上肢のしびれを生じやすい。他の選択肢は加齢や特定の局所的な病変が主因であり、若年労働者の作業関連疾患として最も適切。,a,頸肩腕障害は、パソコン作業などの同じ姿勢での長時間労働により、頸部・肩・腕に負担がかかって発症する職業性疾患です。若年労働者のvdt作業による静的な筋緊張が主な原因となり、頸部痛としびれを特徴とします。他の選択肢は主に中高年に多い変性疾患や、異なる原因で発症する疾患です。,0.9,0.95
119A3,Which of the following is the most common site of hypertensive intracerebralhemorrhage? ,a. Amygdala | b. Hippocampus | c. Hypothalamus | d. Putamene | e. Red nucleus,d,高血圧性脳出血の好発部位は被殻（putamen）だから。,1.0,d,"the most common site for hypertensive intracerebral hemorrhage is the putamen, which is part of the basal ganglia. this is due to the high vascular supply and involvement in cerebral blood flow regulation.",0.9,d,hypertensive intracerebral hemorrhage most commonly occurs in the putamen due to the vulnerability of the lenticulostriate arteries supplying this region.,1.0,d,hypertensive intracerebral hemorrhage most commonly occurs in the putamen.,1.0,ERROR,Expecting value: line 1 column 1 (char 0),d,高血圧性脳内出血の最も一般的な部位は被殻（putamen）です。これは基底核の一部で、レンズ核の外側部分に位置し、穿通枝動脈（レンズ線条体動脈）の好発部位であり、高血圧による血管損傷が起こりやすい場所です。他の選択肢（扁桃体、海馬、視床下部、赤核）は、高血圧性脳内出血の一般的な部位ではありません。,0.9,
119A4,疾患と好発部位の組合せで誤っているのはどれか。 ,a. 疥癬外陰部 | b. ケロイド耳介 | c. 脂腺母斑頭部 | d. 血管性浮腫口唇 | e. ケラトアカントーマ臍部,e,ケラトアカントーマは日光露光部（顔面や四肢など）に好発し、臍部は典型的ではない。,1.0,e,ケラトアカントーマは急速に増殖する良性腫瘍であり、主に顔面や手の甲など、日光に当たる部分に発症することが多いです。組み合わせとして臍部は不適当であるため誤っています。他の選択肢は疾患と好発部位の組み合わせが正しいです。,0.9,e,ケラトアカントーマは主に日光にさらされる顔面や上肢で好発するのに対し、臍部は通常その発生部位として認められないため。,1.0,e,ケラトアカントーマは、顔面、四肢などの日光曝露部に好発する。臍部は一般的ではない。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),e,ケラトアカントーマは主に日光暴露部位（顔面、手背、前腕など）に好発する腫瘍性病変です。臍部は典型的な好発部位ではありません。他の組み合わせは全て正しく、疥癬は外陰部、ケロイドは耳介、脂腺母斑は頭部、血管性浮腫は口唇に好発します。,0.9,
119A5,朝の家庭血圧を測定する条件で適切でないのはどれか。 ,a. 朝食前 | b. 排尿前 | c. 服薬前 | d. 座位安静後 | e. 起床後1時間以内,b,ガイドラインでは起床後1時間以内、排尿後、朝食前、服薬前に測定することが推奨されており、「排尿前」は適切でないため。,1.0,b,血圧測定は、排尿後に行うことが望ましいため、「排尿前」に測定することは適切でないとされています。他の選択肢は、一般的に適切とされる条件です。,0.9,b,朝の家庭血圧測定では、測定前にトイレに行って膀胱を空にするのが推奨されるため、排尿前に測定するのは不適切です。,1.0,b,朝の家庭血圧は、起床後1時間以内、排尿後、朝食前、服薬前、座位安静後という条件で測定することが推奨されている。排尿前ではなく排尿後が適切である。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),b,家庭血圧測定の正しい条件は、起床後1時間以内、朝食前、服薬前に排尿を済ませた後、1-2分の座位安静を取ってから測定することです。排尿前の測定は、膀胱内圧の上昇により血圧値に影響を与える可能性があるため、適切ではありません。,0.9,
119A6,むずむず脚症候群で正しいのはどれか。 ,a. 不眠を生じる。 | b. 明け方に生じる。 | c. 上肢から生じる。 | d. 歩行を続けると増悪する。 | e. 異常感覚は脚の表面に出現する。,a,むずむず脚症候群では寝つきにくさや中途覚醒が生じやすく、不眠の原因となるため。,0.9,a,むずむず脚症候群は、主に夜間に下肢に不快感を感じるため、入眠困難や夜間中途覚醒を引き起こし、不眠を生じることが知られています。他の選択肢は一般的な症状や特徴に一致しません。,0.9,a,むずむず脚症候群は、主に下肢における不快感や異常感覚が引き起こされ、安静時に症状が悪化して不眠に至るため、aが正しいです。他の選択肢は、上肢から始まる（c）、歩行で症状が増悪する（d）、症状の出現時期が明け方である（b）または脚の表面に現れる（e）と記述しており、いずれも一般的な特徴とは異なります。,1.0,a,むずむず脚症候群は、夕方から夜間にかけて症状が悪化しやすく、不眠の原因となる。,0.95,ERROR,Expecting value: line 1 column 1 (char 0),a,むずむず脚症候群（restless legs syndrome: rls）の主要な特徴として、下肢の不快な感覚により不眠を引き起こすことが知られています。典型的には夕方から夜間に症状が悪化し、安静時に増悪、運動により改善します。症状は脚の深部に生じ、主に下肢に限局します。歩行により症状は改善することが多く、増悪はしません。,0.9,
119A7,潰瘍性大腸炎に特徴的な所見はどれか。 ,a. 敷石像 | b. 縦走潰瘍 | c. 全層性炎症 | d. 難治性痔瘻 | e. 連続性病変,e,潰瘍性大腸炎は直腸から連続的に病変が広がることが特徴であり、敷石像・縦走潰瘍・全層性炎症・難治性痔瘻はクローン病に多い所見である。,1.0,e,潰瘍性大腸炎の特徴的な所見には、直腸から連続的に病変が広がる「連続性病変」があります。他の選択肢はクローン病に関連している所見です。,1.0,e,潰瘍性大腸炎は直腸から連続した炎症を呈するのが特徴であり、その他の選択肢はクローン病に関連する所見です。,1.0,e,潰瘍性大腸炎は大腸の粘膜に連続性の炎症を起こす疾患であり、連続性病変が特徴的である。敷石像、縦走潰瘍、全層性炎症、難治性痔瘻はクローン病に特徴的な所見である。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),e,潰瘍性大腸炎の最も特徴的な所見は連続性病変です。直腸から近位部に向かって途切れることなく炎症が広がります。一方、敷石像、縦走潰瘍、難治性痔瘻はクローン病の特徴的所見であり、全層性炎症もクローン病に特徴的です。潰瘍性大腸炎の炎症は粘膜層に限局します。,0.9,
119A8,尿路結石症の予防で正しいのはどれか。 ,"a. 低カルシウム食が推奨される。 | b. 予防法は結石成分によらず同じである。 | c. 野菜と果実の摂取量を制限することが推奨される。 | d. 食事によるナトリウム摂取量を制限する必要はない。 | e. 1日尿量が2,000mL以上となるように水分摂取が推奨される。",e,"尿路結石症の予防では十分な水分摂取により1日尿量を2,000ml以上にすることが基本的かつ有効な方法とされているため。",1.0,e,"尿路結石の予防には十分な水分摂取が重要であり、1日尿量が2,000ml以上となるように水分摂取を推奨するのが一般的です。これにより尿の希釈が促され、結石形成のリスクを減らすことができます。他の選択肢は、一般的な予防策に沿っていないか、誤解を招く内容です。",0.9,e,水分摂取によって1日尿量を2000ml以上に維持することは、尿中のミネラル濃度を希釈し、結石の形成リスクを低減させるため、尿路結石症の予防に有効です。その他の選択肢は、低カルシウム食やナトリウム摂取の制限が不要、野菜果実の摂取制限など誤った情報に基づいており、結石成分ごとに予防方法が異なるため適切ではありません。,1.0,e,"尿路結石症の予防には、十分な水分摂取が最も重要であり、1日尿量を2,000ml以上とすることが推奨されます。",1.0,ERROR,Expecting value: line 1 column 1 (char 0),e,"尿路結石の最も基本的な予防法は十分な水分摂取です。1日尿量2,000ml以上を確保することで、尿中物質の濃度が低下し、結石形成を予防できます。低カルシウム食は骨粗鬆症のリスクがあり推奨されず、ナトリウム制限は必要で、野菜・果実は結石予防に有効です。また、予防法は結石成分により異なります。",0.9,
119A9,肩関節脱臼で正しいのはどれか。 ,a. 横隔神経麻痺の合併が多い。 | b. 肩関節周囲炎の原因となる。 | c. 後方に脱臼することが多い。 | d. 再脱臼は若年者で生じやすい。 | e. 肩関節内転位で脱臼することが多い。,d,肩関節脱臼は若年時ほど再脱臼が起こりやすいため。,0.9,d,肩関節脱臼のうち、最も一般的なのは前方脱臼であり、再脱臼は特に若年者で生じやすいことが知られています。他の選択肢は一般的な肩関節脱臼の特徴とは異なります。,0.9,d,肩関節脱臼は、主に前方脱臼であり、若年者では肩関節周囲の軟部組織の損傷やリハビリ不足などにより再脱臼しやすい。横隔神経麻痺は合併しにくく、後方脱臼や内転位での脱臼は一般的な特徴ではないため、正しいのはdのみ。,1.0,d,肩関節脱臼は前方脱臼が最も多く、再脱臼は若年者で起こりやすい。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),d,肩関節脱臼において、若年者は関節の不安定性が残りやすく、また活動性が高いため再脱臼のリスクが高くなります。一般的な肩関節脱臼の特徴として、前方脱臼が90-95%と最も多く、内転ではなく外転・外旋位で起こりやすいです。横隔神経麻痺は一般的な合併症ではありません。,0.9,
119A10,薬剤と尿細管作用部位の組合せで正しいのはどれか。 ,a. SGLT2阻害薬 - 近位尿細管 | b. 抗アルドステロン薬 - Henleの上行脚 | c. サイアザイド系利尿薬 - 集合管 | d. バソプレシンV2受容体拮抗薬 - 遠位尿細管 | e. ループ利尿薬 - Henleの下行脚,a,sglt2阻害薬は近位尿細管でグルコース再吸収を阻害するため。,1.0,a,sglt2阻害薬は近位尿細管でグルコースの再吸収を阻害する薬です。抗アルドステロン薬は集合管に作用し、サイアザイド系利尿薬は遠位尿細管に作用します。バソプレシンv2受容体拮抗薬も集合管に作用するため、選択肢b、c、dは誤りです。また、ループ利尿薬はhenleの上行脚に作用するため、選択肢eも誤りです。,0.9,a,sglt2阻害薬は近位尿細管でグルコースの再吸収を阻害するため、正しい組み合わせとなります。他の選択肢はそれぞれ、作用部位が誤っているため不正解です。,1.0,a,sglt2阻害薬は近位尿細管に作用し、グルコースの再吸収を抑制する。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),a,sglt2（sodium-glucose cotransporter 2）は近位尿細管に存在し、グルコースと na+ の再吸収を担っています。sglt2阻害薬はこの部位で作用し、グルコースの再吸収を阻害します。他の選択肢は誤りで、特にループ利尿薬はhenleの上行脚、サイアザイド系利尿薬は遠位尿細管、バソプレシンv2受容体拮抗薬は集合管、抗アルドステロン薬は集合管が正しい作用部位です。,0.9,
