question_number,question_text,choices,has_image,claude_answer,claude_explanation,claude_confidence,gpt-4o_answer,gpt-4o_explanation,gpt-4o_confidence,gemini_answer,gemini_explanation,o1_answer,o1_explanation,o1_confidence,o3-mini_answer,o3-mini_explanation,o3-mini_confidence,gemini_confidence
119F1,世界保健機関〈WHO〉の目的で正しいのはどれか。 ,a. 疾病の国際的伝播を最大限防止する。 | b. 人道的かつ秩序ある移住を推進する。 | c. 開発途上国の経済·社会の発展、生活水準を持続的に発展させる。 | d. 世界中の子供たちが「子供の基本的人権」を享受できるようにする。 | e. 人々が健全で活発な生活を送るために十分な量·質の食糧を供給する。,FALSE,a,whoの主要な目的は、国際的な公衆衛生の向上と疾病の予防・制御です。特に感染症の国際的な伝播を防止することは、whoの中核的な使命の一つです。他の選択肢は、iom（国際移住機関）、undp（国際連合開発計画）、unicef（国際連合児童基金）、fao（国際連合食糧農業機関）などの他の国際機関の主要な目的に該当します。,0.9,a,who（世界保健機関）の主な役割は、国際レベルで疾病の予防と健康の促進を図り、疾病の国際的伝播を防止することです。他の選択肢は、国際移住機関（iom）やユニセフ、faoなど他の国際機関の目的に関連しています。,1.0,a,WHOの目的は、国際保健に関する指導的役割を担い、疾病の国際的伝播を最大限に防止することである。他の選択肢は、WHOの直接的な目的とは言えない。,a,who は国際保健機関として感染症の拡大を防止するなど世界的な公衆衛生の向上を目的としているから。,0.9,a,whoは国際的な公衆衛生の向上を目的としており、疾病の国際的伝播の防止はその基本的な任務の一つであるため。その他の選択肢は、whoの主要な目的ではなく、他の国際機関の役割に該当する。,1.0,0.9
119F2,大腿静脈の周辺臓器の解剖で誤っているのはどれか。 ,a. 鼠径靱帯は坐骨結節に付着する。 | b. 鼠径靱帯の頭側には後腹膜腔がある。 | c. 縫工筋は大腿三角の一辺を構成する。 | d. 大腿静脈は大腿動脈の内側を走行する。 | e. 大腿神経は大腿動脈の外側を走行する。,FALSE,a,鼠径靱帯は上前腸骨棘から恥骨結節に付着するものであり、坐骨結節への付着は誤りです。他の選択肢は全て正しい解剖学的記述です。大腿三角の境界、血管・神経の位置関係、後腹膜腔との関係は全て適切に述べられています。,0.95,a,鼠径靱帯は坐骨結節に付着しない。鼠径靱帯は、上前腸骨棘から恥骨結節にかけて伸びる靱帯である。一方、坐骨結節は骨盤下部にあり、鼠径靱帯とは直接関係がない。,1.0,a,鼠径靱帯は上前腸骨棘と恥骨結節に付着する。坐骨結節に付着するのは坐骨神経が出入りする仙結節靱帯。,a,鼠径靱帯は上前腸骨棘から恥骨結節に付着し、坐骨結節には付着しないため。,1.0,a,鼠径靱帯は前上腸骨棘（asis）から恥骨結節に付着するため、坐骨結節に付着するとする選択肢aは誤っています。,1.0,1.0
119F3,正常新生児で正しいのはどれか。 ,a. 7頭身である。 | b. 胸式呼吸が主体である。 | c. 大泉門は生後1か月ごろ閉鎖する。 | d. 生理的体重減少は10%以下である。 | e. 生理的黄疸のピークは生後1~2日である。,FALSE,d,正常新生児について、以下の理由でdが正しいです：,0.9,d,正常新生児における生理的体重減少は通常10%以下であり、これは母乳やミルクの摂取が不十分な初期段階で一般的に見られる。その他の選択肢は正常新生児の典型的な特徴と一致しないため、dが正しいと考えられる。,0.9,d,生理的体重減少は出生体重の10%以下が正常範囲内です。新生児は8頭身に近く、腹式呼吸が主体です。大泉門は生後1歳半頃に閉鎖し、生理的黄疸のピークは生後3~5日です。,d,正常新生児の生理的体重減少は10％以下の範囲にとどまるから。,1.0,d,新生児では生理的体重減少は通常10%以下であるのが正常です。aは新生児は約4頭身程度であり、7頭身は成人の比率に近いです。bは新生児の呼吸は横隔膜運動が主体で、胸式呼吸ではありません。cの大泉門（前頭蓋門）は生後1か月で閉鎖せず、通常は12〜18か月までに閉じます。eは生理的黄疸のピークが生後1〜2日ではなく、一般的に生後3〜5日頃に現れます。,1.0,0.9
119F4,抗精神病薬の作用と関連しているのはどれか。 ,a. ドパミン受容体 | b. セロトニン受容体 | c. モノアミンオキシダーゼ | d. アセチルコリンエステラーゼ | e. ノルアドレナリントランスポーター,FALSE,a,抗精神病薬（特に定型抗精神病薬）は主にドパミンd2受容体の遮断作用により治療効果を発揮します。統合失調症の陽性症状は、中脳辺縁系のドパミン系の過剰活性が原因とされており、ドパミン受容体遮断がその治療の中心的なメカニズムとなっています。,0.9,a,抗精神病薬の主な作用はドパミン受容体の遮断であり、特にd2受容体との関連が強い。ドパミンの過剰活動が統合失調症の症状に関与しているため、ドパミン受容体の遮断が症状の改善に寄与する。,1.0,a,抗精神病薬は主にドパミン受容体遮断作用により効果を発揮する。,a,抗精神病薬は主にドパミンd₂受容体を遮断することで作用するため。,1.0,a,従来型の抗精神病薬は主にドパミンd2受容体を遮断することで効果を発揮するため。,1.0,1.0
119F5,遺伝子-環境交互作用の説明で正しいのはどれか。 ,a. 遺伝子と環境の影響が交互に出現する。 | b. 環境中の有害物質で遺伝子変異が起こる。 | c. 遺伝子組み換えの生物が環境に影響を与える。 | d. 遺伝子と環境のそれぞれが原因の疾患がある。 | e. 遺伝子の違いにより環境の健康への影響が異なる。,FALSE,e,遺伝子-環境交互作用とは、同じ環境要因でも個人の遺伝的背景によって、その影響の現れ方が異なる現象を指します。例えば、アルコールの代謝能力が遺伝的に異なることで、飲酒による健康影響が個人によって異なるといった現象がこれにあたります。他の選択肢は、遺伝子と環境の関係性を誤って解釈しているか、別の現象を説明しています。,0.9,e,遺伝子-環境交互作用とは、個体の遺伝的背景により環境要因の影響が変わる現象を指す。選択肢eはこの定義に合致しており、遺伝子的な違いが環境の健康への影響に違いをもたらすという意味で正しい。,0.9,e,遺伝子-環境交互作用とは、遺伝的な素質によって、環境要因に対する反応が異なることを指します。選択肢eがこの定義に最も合致します。,e,遺伝子の違いによって同じ環境要因でも生体への影響が異なることが遺伝子-環境交互作用の本質であるため。,1.0,e,遺伝子‐環境交互作用とは、遺伝子の違いによって同じ環境要因がもたらす健康影響が異なる現象を指すため。,1.0,1.0
119F6,副腎皮質と共通のホルモン合成酵素が存在するのはどれか。 ,a. 視床下部 | b. 下垂体 | c. 副甲状腺 | d. 副腎髄質 | e. 性腺,FALSE,e,副腎皮質と性腺は、どちらもステロイドホルモンを合成しており、コレステロールを基質として使用する共通の酵素系（p450scc、3β-hsd、p450c17など）を持っています。副腎皮質ではコルチゾールやアルドステロン、性腺では性ステロイドホルモン（テストステロン、エストロゲンなど）を合成します。,0.9,e,副腎皮質と性腺（精巣や卵巣）は、ステロイドホルモンの合成において共通の酵素を持っています。特に、コレステロールから生成される経路で、アンドロゲンやエストロゲンなどのステロイドホルモンが合成される際に共通の酵素が関与します。副腎髄質はカテコラミンを生成するため、この質問とは関係ありません。,0.9,e,副腎皮質と性腺はステロイドホルモンを産生する組織であり、コレステロールからプレグネノロンへの変換など、一部のホルモン合成酵素を共有している。,e,副腎皮質と性腺はいずれもステロイドホルモンを産生し、共通する合成酵素を有するため。,0.9,e,副腎皮質は副腎皮質ステロイド（グルココルチコイド、ミネラルコルチコイド、性腺ステロイド前駆体）を合成するための酵素群を有しており、同様の酵素は性腺でも性ホルモン合成に利用されるため。,1.0,0.9
119F7,保健医療に関する国際的な提言と内容の組合せで正しいのはどれか。 ,a. アデレード宣言あらゆる政策において健康を考慮する。 | b. アルマ·アタ宣言知りえた患者の秘密を尊重する。 | c. ジュネーブ宣言世界のすべての人に健康を届ける。 | d. ヘルシンキ宣言他の医師の意見を求める権利を認める。 | e. リスボン宣言倫理審査委員会を設置する。,FALSE,a,アデレード宣言（1988年）は、「すべての政策に健康の視点を」（health in all policies）という考え方を提唱し、あらゆる政策決定において健康への影響を考慮することを提言しました。他の選択肢は誤った組み合わせです。例えば、ヘルシンキ宣言は人を対象とする医学研究の倫理原則、リスボン宣言は患者の権利に関する宣言です。,0.9,a,アデレード宣言は、「あらゆる政策において健康を考慮する」ことを提唱しています。各選択肢を見ても、他の選択肢と提言の内容は一致していません。,0.9,a,アデレード宣言は、1988年にwhoが発表した健康増進に関する国際会議で採択されたもので、「健康を考慮する」という内容が正しい。,a,アデレード宣言は「すべての政策領域において健康を考慮する」ことを提唱しているため。,1.0,a,アデレード宣言は「健康をあらゆる政策で考慮する」という内容であり、他の選択肢はそれぞれ実際の宣言内容と一致しないため、正解は a となります。,1.0,1.0
119F8,職場で健康診断の実施が規定されているのはどれか。 ,a. 雇入時 | b. 退職した時 | c. 労働災害発生時 | d. 長時間労働した時 | e. 休職から復職した時,FALSE,a,労働安全衛生法第66条により、事業者は労働者を雇い入れる時に、健康診断を実施することが法律で義務付けられています。その他の選択肢は、状況に応じて健康診断が推奨または必要となる場合はありますが、法律で一律に義務付けられているわけではありません。,1.0,a,労働安全衛生法により、雇用主は雇入時に健康診断を実施することが規定されています。他の状況では法的に健康診断が必須とされているわけではありません。,0.9,a,労働安全衛生法により、雇入れ時の健康診断は義務付けられています。,a,雇入時健診は労働安全衛生法により実施が義務付けられているため。,1.0,a,労働安全衛生法により、雇入時の健康診断（雇入時健康診断）は明確に実施が義務付けられているため。他の選択肢は法令上の必須項目には含まれていません。,1.0,
119F9,"治療薬Aの疾患Bに対する治療効果を調べるための臨床試験を行った。疾患B患者を対象として、治療薬A投与群〈介入群〉とプラセボ投与群〈対照群〉にランダムに割り付けた。対象者数は240人で、治療効果を3日目症状消失率で比較検討した。得られた結果を表に示す。 対象者数: 介入群 120人, 対照群 120人 3日目症状消失率: 介入群 28%, 対照群 15%, P値 0.02 この臨床試験の統計解析手法はどれか。",a. t検定 | b. χ2検定 | c. 生存分析 | d. 線形回帰 | e. 比例ハザードモデル,FALSE,b,この問題では、2群間（介入群と対照群）の症状消失「率」（割合）を比較しています。2群間の割合の比較にはχ2検定が最適です。t検定は連続変数の比較、生存分析やハザードモデルは時間経過データの分析、線形回帰は変数間の関係性分析に使用されます。,0.9,b,この臨床試験の結果は3日目の症状消失率を介入群と対照群で比較しており、これはカテゴリカルデータ（消失したか消失していないか）を扱っています。こうした比率の差を比較するには、一般的にχ2検定が用いられます。p値からも群間の有意差を確認していますので、χ2検定が適切です。,0.9,b,症状消失率はカテゴリカルデータであり、2群間の割合の比較にはχ2検定が適切である。,b,2群の割合を比較しており、カイ二乗検定(χ2検定)が用いられるため。,1.0,b,この試験では、介入群と対照群で3日目の症状消失率という2群間の割合データを比較しており、カテゴリー変数の群間比較にはχ2検定が適用されるため。,1.0,1.0
119F10,国民生活基礎調査に含まれないのはどれか。 ,a. 医療 | b. 教育 | c. 所得 | d. 福祉 | e. 保健,FALSE,b,国民生活基礎調査は、厚生労働省が実施する調査で、世帯の所得、医療、福祉、保健、介護など国民の生活実態を把握するための調査です。教育に関する項目は、文部科学省が別途実施する学校基本調査などで扱われ、国民生活基礎調査の調査項目には含まれていません。,0.9,b,国民生活基礎調査は、日本の厚生労働省が行う、全国規模の調査で、主に健康、医療、福祉、所得、年金などの状況を把握するためのものです。教育に関する項目は通常含まれていません。,0.9,b,国民生活基礎調査は、保健、医療、福祉、所得等の国民生活の実態を把握するための調査であり、教育は含まれない。,b,国民生活基礎調査は主に所得、保健、医療、福祉に関する項目を扱うため、教育は含まれない。,0.9,b,国民生活基礎調査は、国民の生活状況を把握するために、医療、所得、福祉、保健などの各分野を調査項目としていますが、教育は対象に含まれていません。,1.0,0.9
