question_number,question_text,choices,has_image,deepseek_answer,deepseek_explanation,deepseek_confidence
119F1,世界保健機関〈WHO〉の目的で正しいのはどれか。 ,a. 疾病の国際的伝播を最大限防止する。 | b. 人道的かつ秩序ある移住を推進する。 | c. 開発途上国の経済·社会の発展、生活水準を持続的に発展させる。 | d. 世界中の子供たちが「子供の基本的人権」を享受できるようにする。 | e. 人々が健全で活発な生活を送るために十分な量·質の食糧を供給する。,False,a,"whoの主な目的は国際的な保健衛生の向上であり、選択肢a「疾病の国際的伝播を最大限防止する」はwho憲章に明記された主要目的の一つである。他の選択肢は別の国際機関（iom, undp, unicef, fao）の役割と直接関連するため除外される。",0.95
119F2,大腿静脈の周辺臓器の解剖で誤っているのはどれか。 ,a. 鼠径靱帯は坐骨結節に付着する。 | b. 鼠径靱帯の頭側には後腹膜腔がある。 | c. 縫工筋は大腿三角の一辺を構成する。 | d. 大腿静脈は大腿動脈の内側を走行する。 | e. 大腿神経は大腿動脈の外側を走行する。,False,a,鼠径靱帯は坐骨結節ではなく、上前腸骨棘と恥骨結節の間に張られる。その他の選択肢は解剖学的に正しい記述である。,0.95
119F3,正常新生児で正しいのはどれか。 ,a. 7頭身である。 | b. 胸式呼吸が主体である。 | c. 大泉門は生後1か月ごろ閉鎖する。 | d. 生理的体重減少は10%以下である。 | e. 生理的黄疸のピークは生後1~2日である。,False,d,正常新生児の生理的体重減少は出生体重の5-10%であり、dは正しい。大泉門（前頭泉門）の閉鎖は通常1歳半頃で（cは誤り）、生理的黄疸のピークは生後3-5日（eは誤り）。新生児の呼吸は腹式主体（b誤り）、頭身比は4頭身程度（a誤り）。,0.95
119F4,抗精神病薬の作用と関連しているのはどれか。 ,a. ドパミン受容体 | b. セロトニン受容体 | c. モノアミンオキシダーゼ | d. アセチルコリンエステラーゼ | e. ノルアドレナリントランスポーター,False,a,抗精神病薬の主な作用機序はドパミンd2受容体の拮抗作用であり、特に定型抗精神病薬において中心的な役割を果たす。セロトニン受容体（5-ht2a）は非定型抗精神病薬で追加的に作用するが、問題文に「2つ選べ」の指示がないため最も基本的なaを選択。c～eは抗うつ薬や認知症治療薬の標的であり直接関連しない。,0.9
119F5,遺伝子-環境交互作用の説明で正しいのはどれか。 ,a. 遺伝子と環境の影響が交互に出現する。 | b. 環境中の有害物質で遺伝子変異が起こる。 | c. 遺伝子組み換えの生物が環境に影響を与える。 | d. 遺伝子と環境のそれぞれが原因の疾患がある。 | e. 遺伝子の違いにより環境の健康への影響が異なる。,False,e,遺伝子-環境交互作用は、遺伝的要因が環境曝露への反応を修飾する現象を指す。選択肢eは「遺伝子の違いにより環境の健康への影響が異なる」と明示しており、この定義に合致する。他の選択肢は遺伝子変異の直接的原因（b）や単なる並列関係（d）など、交互作用の本質を捉えていない。,0.95
119F6,副腎皮質と共通のホルモン合成酵素が存在するのはどれか。 ,a. 視床下部 | b. 下垂体 | c. 副甲状腺 | d. 副腎髄質 | e. 性腺,False,e,副腎皮質と性腺は共にステロイドホルモンを合成し、17α-ヒドロキシラーゼやその他の合成酵素を共有しています。他の選択肢はペプチドホルモンやカテコールアミンを産生するため酵素系が異なります。,0.95
119F7,保健医療に関する国際的な提言と内容の組合せで正しいのはどれか。 ,a. アデレード宣言あらゆる政策において健康を考慮する。 | b. アルマ·アタ宣言知りえた患者の秘密を尊重する。 | c. ジュネーブ宣言世界のすべての人に健康を届ける。 | d. ヘルシンキ宣言他の医師の意見を求める権利を認める。 | e. リスボン宣言倫理審査委員会を設置する。,False,a,アデレード宣言は「健康をすべての政策に統合する」ことを提唱しており、選択肢aの内容と一致する。他の選択肢は各宣言の主要なテーマと一致しない（例：アルマ・アタ宣言はプライマリヘルスケア、ジュネーブ宣言は医師の倫理綱領）。,0.95
119F8,職場で健康診断の実施が規定されているのはどれか。 ,a. 雇入時 | b. 退職した時 | c. 労働災害発生時 | d. 長時間労働した時 | e. 休職から復職した時,False,a,労働安全衛生法第66条により、雇入時の健康診断（a）は義務付けられている。復職時（e）は医師の意見聴取が求められるが、健康診断そのものの実施は必ずしも明文化されていないため、確実な選択肢はaのみとなる。,0.9
119F9,"治療薬Aの疾患Bに対する治療効果を調べるための臨床試験を行った。疾患B患者を対象として、治療薬A投与群〈介入群〉とプラセボ投与群〈対照群〉にランダムに割り付けた。対象者数は240人で、治療効果を3日目症状消失率で比較検討した。得られた結果を表に示す。 対象者数: 介入群 120人, 対照群 120人 3日目症状消失率: 介入群 28%, 対照群 15%, P値 0.02 この臨床試験の統計解析手法はどれか。 ",a. t検定 | b. χ2検定 | c. 生存分析 | d. 線形回帰 | e. 比例ハザードモデル,False,b,症状消失率（割合）の比較にはカイ二乗検定（χ2検定）が用いられる。t検定は連続変数の平均値比較に適し、生存分析や比例ハザードモデルは時間経過に伴うイベント発生を分析する手法である。,0.95
119F10,国民生活基礎調査に含まれないのはどれか。 ,a. 医療 | b. 教育 | c. 所得 | d. 福祉 | e. 保健,False,b,国民生活基礎調査では、主に健康・医療・介護・所得など生活基盤に関する項目を調査する。教育に関する項目は文部科学省所管の調査で扱われるため、通常は含まれない。,0.95
119F11,原発巣コントロール良好な転移性脳腫瘍の治療で、定位放射線照射が適切なのはどれか。 ,a. 髄膜播種を伴う病変 | b. 脳ヘルニアを伴う病変 | c. 多数の病変(15個以上) | d. 薬物療法に高感受性の病変 | e. 小さい病変(最大径3cm以下),False,e,定位放射線照射は通常、3cm以下の少数（通常4個未満）の転移性脳腫瘍に適応される。髄膜播種（a）や脳ヘルニア（b）は緊急対応が必要、多数病変（c）は全脳照射の対象、薬物療法感受性（d）は全身治療が優先されるため適応外である。,0.95
119F12,乳癌術後の上肢リンパ浮腫に対する治療で適切なのはどれか。 ,a. 温熱療法 | b. 装具による固定 | c. 促通訓練 | d. 弾性着衣による圧迫 | e. 電気療法,False,d,弾性着衣による圧迫はリンパ浮腫の基本的な治療法であり、リンパ液の停滞を防ぐ効果がある。他の選択肢はリンパ浮腫に対して直接的な治療効果が乏しいか、逆効果となる可能性がある。,0.95
119F13,主要な曝露源が魚介類摂取であるのはどれか。 ,a. 鉛 | b. カドミウム | c. メチル水銀 | d. 塩化ビニルモノマー | e. テトラクロロエチレン,False,c,メチル水銀は魚介類、特に大型魚に生物濃縮され、主な曝露源となる。他の選択肢は土壌汚染や職業曝露などが主であり、魚介類摂取との関連が薄い。,0.95
119F14,皮膚の構造や機能で正しいのはどれか。 ,a. Merkel細胞は免疫担当細胞である。 | b. 皮脂の主成分はコレステロールである。 | c. チロシナーゼはメラニン生成に必須である。 | d. アポクリン汗腺の導管は表皮に直接開口する。 | e. ヘミデスモソームは表皮細胞間の接着に関わる。,False,c,チロシナーゼはメラノサイトでチロシンを酸化しメラニン生成に必須である。他の選択肢は誤りで、merkel細胞は触覚受容器、皮脂主成分はトリグリセリド/ワックスエステル、アポクリン汗腺は毛包に開口し、ヘミデスモソームは表皮-真皮間の接着に関与する。,0.95
119F15,医療保険はどれか。 ,a. 医療扶助 | b. 介護保険 | c. 国民年金 | d. 後期高齢者医療制度 | e. 労働者災害補償保険,False,d,後期高齢者医療制度は公的医療保険制度の一つであり、75歳以上の高齢者を対象とした医療保険である。他の選択肢は医療保険ではなく、介護保険（b）や年金制度（c）、労働災害補償（e）、生活保護関連の医療扶助（a）である。,0.95
119F16,B細胞の活性化に直接関与する細胞はどれか。 ,a. NK細胞 | b. ヘルパーT細胞 | c. マクロファージ | d. 制御性T細胞〈Treg> | e.細胞傷害性T細胞〈CTL〉,False,b,b細胞の活性化には、抗原提示を受けたヘルパーt細胞（th細胞）からのcd40lを介したシグナルやサイトカインの分泌が必須であり、直接的な関与がある。他の選択肢は細胞傷害や免疫抑制、非特異的な免疫応答に関与するため直接の役割ではない。,0.9
119F17,医科診療医療費が最も大きいのはどれか。 ,a. 呼吸器系の疾患 | b. 循環器系の疾患 | c. 精神及び行動の障害 | d. 内分泌、栄養及び代謝疾患 | e. 筋骨格系及び結合組織の疾患,False,c,近年の厚生労働省統計では、精神及び行動の障害（認知症・うつ病等）が医科診療費で最大項目となっている。高齢化による認知症患者増加が主因と推測される。,0.7
119F18,保健所の業務で誤っているのはどれか。 ,a. 精神疾患の相談 | b. 医療機関への立入検査 | c. 身体障害者手帳の交付 | d. 人口動態統計に関する業務 | e. 結核発生時の接触者健康診断,False,c,身体障害者手帳の交付は市町村が担当する業務であり、保健所の業務ではないため。,0.95
