question_number,question_text,choices,has_image,gpt-4o_answer,gpt-4o_explanation,gpt-4o_confidence,claude_answer,claude_explanation,claude_confidence,gemini_answer,gemini_explanation,gemini_confidence,o1_answer,o1_explanation,o1_confidence,o3-mini_answer,o3-mini_explanation,o3-mini_confidence
119E1,症候と疾患の組合せで誤っているのはどれか。 ,a. 排尿障害 - 腰部脊柱管狭窄症 | b. 歩行障害 - 頸椎性脊髄症 | c. 腰背部痛 - 解離性大動脈瘤 | d. 下肢の冷感 - 深部静脈血栓症 | e. 膝関節腫脹 - 偽痛風,False,d,深部静脈血栓症（dvt）では通常、下肢の腫脹や疼痛が見られます。下肢の冷感は、むしろ動脈閉塞や血流不全を示唆する症状であり、dvtでは一般的ではありません。他の選択肢は、関連する症状として妥当です。,1.0,e,偽痛風は主に膝関節に発症する結晶誘発性関節炎であり、膝関節の腫脹は典型的な症状の一つです。この組み合わせは正しいため、誤っているものを選ぶという問題の趣旨から、これは答えではありません。他の組み合わせを見ると、全て正しい関連性があります：排尿障害は腰部脊柱管狭窄症の症状、歩行障害は頸椎性脊髄症の症状、腰背部痛は解離性大動脈瘤の典型的症状、下肢の冷感は深部静脈血栓症でよく見られる症状です。したがって、選択肢eは誤った組み合わせではありません。,0.8,d,深部静脈血栓症では、下肢の腫脹、疼痛、発赤などが一般的であり、冷感はむしろ動脈閉塞を示唆する症状であるため。,0.9,d,深部静脈血栓症では下肢の腫脹や発赤、熱感を伴うことが多く、冷感は急性動脈閉塞を疑う症候であるため。,1.0,d,深部静脈血栓症は、下肢の浮腫や発赤、温感などが主な症状であり、冷感は特徴的ではないため。,1.0
119E2,不当な差別、偏見その他の不利益が生じないように、その取扱いに特に配慮を要する個人情報はどれか。 ,a. 学歴 | b. 国籍 | c. 病歴 | d. 肌の色 | e. 職業的地位,False,c,個人情報において、病歴は健康状態に関する情報として特にセンシティブな情報とされ、不当な差別や偏見が生じやすいため、その取扱いに特に配慮が必要です。学歴、国籍、肌の色、職業的地位も差別に関連する情報ですが、医療において病歴は非常に重要かつセンシティブな情報です。,0.9,c,病歴は要配慮個人情報として個人情報保護法で特別に定められています。病歴は個人の健康状態に関する機微な情報であり、差別や偏見につながる可能性が高いため、特に慎重な取り扱いが必要とされます。他の選択肢も個人情報ですが、法律上の要配慮個人情報には該当しません。,0.9,c,病歴は、不当な差別や偏見につながる可能性が最も高い個人情報であるため、取扱いに特に配慮が必要です。国籍や肌の色も差別につながる可能性はありますが、病歴は個人の健康状態というデリケートな情報であり、より慎重な取り扱いが求められます。学歴や職業的地位は、差別につながる可能性はありますが、病歴ほどではないと考えられます。,1.0,c,日本の個人情報保護法において「要配慮個人情報」に該当する代表例の一つが「病歴」であるため。,1.0,c,病歴は個人の健康に関わる極めてセンシティブな情報であり、不当な差別や不利益が生じるリスクが高いため、特に配慮すべき個人情報とされる。,0.95
119E3,医療倫理の4原則に含まれないのはどれか。 ,a. 正義 | b. 善行 | c. 無危害 | d. 自律尊重 | e. 共同意思決定,False,e,医療倫理の4原則とは、1) 正義（公正）、2) 善行（利益を最大化）、3) 無危害（有害を最小化）、4) 自律尊重（患者の自己決定権の尊重）です。選択肢eの「共同意思決定」は、これらの4原則には含まれません。,1.0,e,医療倫理の4原則は、「自律尊重（autonomy）」「無危害（non-maleficence）」「善行（beneficence）」「正義（justice）」の4つです。共同意思決定（shared decision making）は重要な医療概念ですが、4原則には含まれていません。,0.95,e,医療倫理の4原則は、正義、善行、無危害、自律尊重です。共同意思決定は、これらの原則を実践する上での重要なプロセスですが、4原則そのものではありません。,1.0,e,医療倫理の4原則は「自律尊重」「善行」「無危害」「正義」であり、「共同意思決定」は含まれないため。,0.9,e,医療倫理の4原則は「正義」「善行」「無危害」「自律尊重」であり、「共同意思決定」は含まれないため。,1.0
119E4,性感染症が疑われる患者に対して、性交渉歴に関する病歴聴取を行う場合に正しいのはどれか。 ,a. 初診時には聴取をしない。 | b. 性交渉相手の人数を確認する。 | c. 未成年の患者では保護者を同席させる。 | d. 配偶者との性交渉については聴取しない。 | e. 経口避妊薬を服用している患者には聴取しない。,False,b,性感染症が疑われる患者に対しては、適切な治療と予防策を講じるために詳細な性交渉歴を聴取することが重要です。特に、性交渉相手の人数を確認することは感染経路を明らかにし、適切な管理を行うために必要です。他の選択肢は不適切または不十分です。,0.9,b,性感染症の診断と治療のためには、感染リスクの評価が重要です。性交渉相手の人数は感染リスクを評価する上で重要な情報であり、適切な治療方針の決定に必要です。他の選択肢は、医療者として適切な対応とは言えません。特に、初診時の聴取回避、保護者の強制的な同席、配偶者との性交渉の除外、避妊薬服用者への聴取回避は、正確な診断の妨げとなる可能性があります。,0.9,b,性感染症が疑われる場合、感染経路やリスク評価のために性交渉歴の聴取は重要です。性交渉相手の人数はリスク評価に直接関わるため、確認する必要があります。,1.0,b,性感染症のリスク評価においては性的パートナーの人数を把握することが重要であるため。,1.0,b,性感染症が疑われる場合、性交渉相手の人数を確認することでリスク評価ができるため、初診時でも丁寧に聴取する必要があります。他の選択肢は、プライバシーの保護や正確な情報を得るために適当でないため誤りです。,1.0
119E5,ナルコレプシーの患者の訴えはどれか。 ,a. 「会議中に突然眠ってしまいます」 | b. 「毎日、明け方になるまで眠れません」 | c. 「毎晩、眠れないのではないかと不安になります」 | d. 「眠っている間に足がぴくぴく動いていると妻に言われます」 | e. 「夜中に知らないうちに冷蔵庫の中のものを食べているみたいです」,False,a,ナルコレプシーは、日中に強い眠気や突然の睡眠発作を引き起こす睡眠障害であり、選択肢aの「会議中に突然眠ってしまいます」は典型的な症状です。他の選択肢は、他の睡眠障害や行動の問題を示唆しています。,0.9,a,"ナルコレプシーは、日中の過度の眠気が特徴的な睡眠障害です。患者は、会議や運転中など不適切な状況で突然眠り込んでしまう症状（睡眠発作）を示します。他の選択肢は、不眠症（b,c）、むずむず脚症候群（d）、睡眠時摂食障害（e）の症状を示しています。",0.9,a,ナルコレプシーは、日中の過度の眠気が主な症状であり、会議中など状況に関わらず突然眠ってしまうことが特徴的である。,1.0,a,ナルコレプシーでは日中に突然眠り込む発作が特徴的であるため。,1.0,a,ナルコレプシーは日中の強い眠気と突然の睡眠発作が特徴です。「会議中に突然眠ってしまいます」という症状がこれに該当します。,1.0
119E6,腰椎穿刺法による脳脊髄液検査を行う。成人患者への説明で誤っているのはどれか。 ,a. 「うつぶせの姿勢で行います」 | b. 「事前に血液検査を行います」 | c. 「下肢に痛みが走ることがあります」 | d. 「事前に眼底検査か頭部画像検査を行います」 | e. 「検査後に立位で悪化する頭痛が起きることがあります」,False,a,腰椎穿刺法は通常、患者を横向きに寝かせて行うため、「うつぶせの姿勢で行います」という説明は誤っています。他の選択肢は一般的に正しい説明です。,1.0,a,腰椎穿刺は通常、側臥位（横向き）または座位で行われ、うつぶせ（腹臥位）では行いません。側臥位の場合は膝を胸に引き寄せ、背中を丸める姿勢をとります。これにより椎間が開き、穿刺が容易になります。その他の説明は全て正しい内容です（血液検査による出血傾向の確認、神経根刺激による放散痛の可能性、頭蓋内圧亢進の除外、術後髪頭痛の可能性）。,0.9,a,腰椎穿刺は通常、側臥位または座位で行われる。うつ伏せで行うことは一般的ではないため、誤りである。,1.0,a,腰椎穿刺は通常、側臥位または座位で行われるため。,1.0,a,成人の腰椎穿刺は通常、側臥位（横向き）または座位で行われるため、うつぶせで行うという説明は誤っています。,1.0
119E7,医師のプロフェッショナリズムで誤っているのはどれか。 ,a. 科学的根拠を追究する。 | b. 自己の利益を追求する。 | c. 社会のニーズに応える。 | d. 患者の感情に共感を示す。 | e. 医療資源の有限性に配慮する。,False,b,医師のプロフェッショナリズムでは、患者の利益と社会のニーズを第一に考えることが求められます。「自己の利益を追求する」という選択肢は、プロフェッショナリズムの精神に反しているため誤っています。,1.0,b,医師のプロフェッショナリズムは、患者の利益を最優先し、自己の利益追求を抑制することが基本原則です。他の選択肢は全て、医師として求められる適切な態度や行動（科学的根拠に基づく医療、社会貢献、患者への共感、医療資源の適切な活用）を示しています。,0.95,b,医師のプロフェッショナリズムは、患者の利益を最優先に考えるべきであり、自己の利益を追求することはこれに反する。,1.0,b,医師のプロフェッショナリズムは患者の利益や社会のニーズを優先するため、自己の利益追求は誤りである。,1.0,b,医師のプロフェッショナリズムは、患者や社会の利益を最優先とし、科学的根拠に基づく診療を行うべきであり、自己の利益を追求することはその本質に反するため。,1.0
119E8,ある患者の採血結果で、血清K値が7.0mEq/Lであると検査室から連絡があった。血液検査の再検に加えて、まず行うべき検査はどれか。 ,a. 血糖測定 | b. 腹部単純 | c. TC心エコー検査 | d. 12誘導心電図検査 | e. 胸部エックス線撮影,False,d,高カリウム血症（血清k値が7.0meq/l）は、致命的な不整脈を引き起こす可能性があるため、即時の対応が必要です。まず行うべき検査は、心電図を用いて心臓の電気的活動を確認し、不整脈のリスクを評価することです。そのため、12誘導心電図検査が最も適しています。,0.9,d,高k血症(>6.5meq/l)は致死的な不整脈を引き起こす可能性がある緊急事態であり、まず心臓への影響を評価する必要がある。12誘導心電図検査は、高k血症による特徴的な変化（尖鋭t波、p波の平坦化、qrs幅の延長など）を迅速に確認できる非侵襲的な検査である。,0.9,d,高カリウム血症は心臓に影響を及ぼし、不整脈を引き起こす可能性があるため、心電図検査で心臓の状態を評価する必要がある。,1.0,d,重度の高k血症では致命的な不整脈の可能性があるため、心電図により速やかに心臓の状態を評価することが最優先となる。,1.0,d,高カリウム血症は心筋の興奮性や伝導に影響を与え、命に関わる不整脈を引き起こす可能性があるため、まず心電図で心臓の状態を確認する必要がある。,1.0
119E9,強迫性障害〈強迫症〉の患者にみられる強迫行為で正しいのはどれか。 ,a. 症状に日内変動がある。 | b. 強迫行為中の記憶がない。 | c. 患者は強迫行為を合理的であると考えている。 | d. 「手を洗いなさい」などの命令性幻聴に従って行われる。 | e. 強迫観念によって生じる不安を予防あるいは緩和する目的で行われる。,False,e,強迫性障害における強迫行為は、通常、強迫観念によって引き起こされる不安やストレスを緩和するために行われます。他の選択肢は強迫性障害の特徴とは異なります。例えば、日内変動や記憶の喪失、行為を合理的と考えるなどは典型的ではありません。したがって、正しい選択肢は、不安を予防または緩和するための行動であるeです。,1.0,e,強迫性障害における強迫行為は、強迫観念によって引き起こされる不安や苦痛を軽減するために行われる行動です。患者は自身の行為が不合理だと理解していますが、不安を和らげるために行為を繰り返さざるを得ません。これは幻聴による命令や記憶喪失とは無関係で、意識的な行動です。,0.9,e,強迫行為は、強迫観念によって引き起こされる不安や苦痛を軽減するために行われる行動です。,1.0,e,強迫行為は、強迫観念によって生じる不安や苦痛を和らげるために行われる行動であるため。,1.0,e,強迫症では、強迫観念によって生じる不安や苦痛を緩和するために、強迫行為（例：過度な手洗いなど）を行うのが特徴です。その他の選択肢は、ocdの特徴として認められないため、正解はeです。,1.0
119E10,チーム医療で正しいのはどれか。 ,a. 事務職員も参加できる。 | b. 医師の指示が最優先される。 | c. 医療機関の経営業績の向上が目的である。 | d. チーム全員の意見が一致する必要がある。 | e. 単一の医療機関内で完結することが推奨されている。,False,a,チーム医療とは、医師、看護師、薬剤師、理学療法士、事務職員など様々な職種が協力して患者の治療に当たる医療の形態です。したがって、事務職員もチーム医療に参加することができるため、選択肢aが正しいです。他の選択肢は、例えばbは医師の指示が最優先されるというよりも、全員が意見を出し合う協力関係が重視されます。,0.9,a,チーム医療は、医療の質を向上させるために、医療専門職だけでなく事務職員を含む多職種が協働するシステムです。医師の指示が絶対ではなく、各職種の専門性を活かした意見交換が重要で、必ずしも全員の意見一致は必要ありません。また、地域連携も重要で、単一機関での完結を推奨しているわけではありません。経営業績向上は副次的な効果であり、主目的は患者へのより良い医療の提供です。,0.9,a,チーム医療は多職種がそれぞれの専門性を活かし、患者中心の医療を提供することを目的とする。事務職員もチームの一員として、その専門性を活かして貢献できる。,0.9,a,チーム医療は職種を問わず必要に応じて参加する体制であり，事務職員も情報共有や調整などで貢献しうるため。,0.9,a,チーム医療は医師だけでなく看護師、薬剤師、リハビリテーション職、事務職員など多職種が協働するため、事務職員も参加できるのが正しい。,1.0
