question_number,question_text,choices,has_image,deepseek_answer,deepseek_explanation,deepseek_confidence
119C1,119C健康日本21(第3次)で目標とされていないのはどれか。 ,a. 健康経営の推進 | b. 救命救急センター数の増加 | c. メンタルヘルス対策に取り組む事業場の増加 | d. 利用者に応じた食事提供をしてくれる特定給食施設の増加 | e. 「居心地がよく歩きたくなる」まちなかづくりに取り組む市町村数の増加,False,b,健康日本21（第三次）の重点項目には「健康経営の推進（a）」「メンタルヘルス対策（c）」「特定給食施設の栄養管理（d）」「歩行促進のまちづくり（e）」が含まれますが、救命救急センター数の増加（b）は医療インフラ整備の範疇で、予防・健康増進を主眼とする本計画の直接的な目標ではありません。,0.95
119C2,日本、韓国、イタリア、スウェーデン、ドイツの老年人口の割合の推移(別冊No.1)を別に示す。日本はどれか。 ,a. 1 | b. 2 | c. 3 | d. 4 | e. 5,True,d,日本は世界で最も高齢化が進行しており、老年人口割合が最も高い曲線を示す。他の選択肢はドイツやイタリアなど緩やかな曲線や後発的な高齢化を示す韓国等を指すと推定される。,0.9
119C3,精神保健福祉センターの業務はどれか。 ,a. 要介護認定 | b. 障害年金の認定 | c. 麻薬の取り締まり | d. 心神喪失者の精神鑑定 | e. 精神医療審査会の事務,False,e,精神保健福祉法第6条に基づき、精神医療審査会の事務は精神保健福祉センターが担当する。他の選択肢は市町村（a）、年金事務所（b）、警察等（c）、専門医（d）の業務である。,0.95
119C4,地域住民の喫煙者割合を把握するため質問紙調査を行う。偶然誤差と関連するのはどれか。 ,a. 喫煙の定義 | b. 記名の有無 | c. 質問の妥当性 | d. 調査対象者数 | e. 無作為抽出の有無,False,d,偶然誤差（標本誤差）は調査対象者数（サンプルサイズ）に反比例し、サンプル数が少ないほど誤差が大きくなる。他の選択肢は系統的誤差（バイアス）に関連する要因である。,0.95
119C5,児童虐待の防止などに関する法律で児童虐待の定義に規定されていないのはどれか。 ,a. 性的虐待 | b. 経済的虐待 | c. 身体的虐待 | d. 心理的虐待ネグレクト,False,b,児童虐待防止法における児童虐待の定義には、身体的虐待（c）、性的虐待（a）、ネグレクト（dの一部）、心理的虐待（d）が含まれます。経済的虐待（b）は主に高齢者虐待の定義に用いられ、児童虐待の定義には規定されていません。,0.95
119C6,介護保険による機能訓練で正しいのはどれか。 ,a. 介護福祉士が実施する。 | b. 利用者は減少している。 | c. 医師の指示が必要である。 | d. 家事動作訓練が含まれる。 | e. 特定機能病院で実施される。,False,d,介護保険の機能訓練ではadl/iadl（日常生活動作・手段的日常生活動作）の改善を目的としており、家事動作訓練（iadlの一部）が対象に含まれる。他の選択肢は、制度上の役割（a：療法士が主担当）、利用動向（b：高齢化で需要増加が推定）、医師指示の必要性（c：計画作成時に関与するが日常訓練では不要）、実施場所（e：介護保険施設や在宅が主流）の点で不適切。,0.9
119C7,介護保険で正しいのはどれか。 ,a. 保険料は79歳まで支払う。 | b. 保険料は全市町村で同じである。 | c. 保険料は65歳から納付義務がある。 | d. サービス利用で自己負担は生じない。 | e. 所得によって支払う保険料が異なる。,False,e,介護保険の保険料は所得によって異なる段階別料率が適用される。第1号被保険者（65歳以上）は市町村が設定する基準額に基づき、所得段階に応じた保険料となる。他の選択肢は正確でない（40歳から納付義務/終身支払い/地域差あり/自己負担1～3割）。,0.95
119C8,病院搬入時にショックを合併する鈍的外傷患者のエックス線撮影で、胸部とともに撮影する部位はどれか。 ,a. 頭部 | b. 頸椎 | c. 腹部 | d. 骨盤 | e. 大腿骨,False,d,ショックを伴う鈍的外傷では骨盤骨折による後腹膜出血が重要な原因となるため、胸部x線と共に骨盤x線が緊急評価に必須とされる。他の部位は二次的評価に回されることが多い。,0.95
119C9,医師法で5年間の保存義務が規定されているのはどれか。 ,a. 紹介状 | b. 処方箋 | c. 診療録 | d. 看護記録 | e. エックス線写真,False,ce,医師法第24条では診療録（c）とエックス線写真（e）に5年間の保存義務が規定されている。紹介状や処方箋は診療録に包含される場合が多く、看護記録は看護師法の対象となる可能性が高い。,0.8
119C10,尿所見で、潜血3+、沈渣に赤血球1~4/HPFを示すのはどれか。 ,a. 腎梗塞 | b. 膀胱癌 | c. 尿路結石 | d. 自己免疫性溶血性貧血 | e. 膜性增殖性糸球体腎炎,False,d,自己免疫性溶血性貧血では溶血によるヘモグロビン尿のため潜血陽性となるが、破壊された赤血球は沈渣では確認されにくく赤血球数が少ない。糸球体腎炎（e）では変形赤血球が持続的に排泄されるため、一般的に沈渣の赤血球数が多くなる傾向がある。溶血性貧血の病態がより整合する。,0.85
