question_number,model,model_answer,correct_answer,is_correct,confidence,has_image,block
119A1,gemma-3,c,a,False,0.9,False,A
119A6,gemma-3,b,a,False,0.9,False,A
119A9,gemma-3,c,d,False,0.9,False,A
119A12,gemma-3,ac,ce,False,0.95,False,A
119A19,gemma-3,b,d,False,0.95,False,A
119A36,gemma-3,c,e,False,0.9,False,A
119A44,gemma-3,d,e,False,0.8,False,A
119A53,gemma-3,d,c,False,0.85,False,A
119A55,gemma-3,c,a,False,0.9,False,A
119A65,gemma-3,b,c,False,0.9,False,A
119A75,gemma-3,a,600,False,0.95,False,A
