question_number,model,model_answer,correct_answer,is_correct,confidence,has_image,block
119A1,gemma-3,c,a,False,0.9,False,A
119A2,gemma-3,a,a,True,0.95,False,A
119A3,gemma-3,d,d,True,0.95,False,A
119A4,gemma-3,e,e,True,0.95,False,A
119A5,gemma-3,b,b,True,0.9,False,A
119A6,gemma-3,b,a,False,0.9,False,A
119A7,gemma-3,e,e,True,0.95,False,A
119A8,gemma-3,e,e,True,0.95,False,A
119A9,gemma-3,c,d,False,0.9,False,A
119A10,gemma-3,a,a,True,0.95,False,A
119A12,gemma-3,ac,ce,False,0.95,False,A
119A13,gemma-3,cd,cd,True,0.95,False,A
119A14,gemma-3,de,de,True,0.95,False,A
119A16,gemma-3,d,d,True,0.8,False,A
119A17,gemma-3,c,c,True,0.9,False,A
119A19,gemma-3,b,d,False,0.95,False,A
119A25,gemma-3,e,e,True,0.9,False,A
119A26,gemma-3,a,a,True,0.9,False,A
119A27,gemma-3,e,e,True,0.95,False,A
119A30,gemma-3,c,c,True,0.9,False,A
119A31,gemma-3,d,d,True,0.95,False,A
119A32,gemma-3,d,d,True,0.9,False,A
119A36,gemma-3,c,e,False,0.9,False,A
119A39,gemma-3,e,e,True,0.9,False,A
119A40,gemma-3,a,a,True,0.9,False,A
119A41,gemma-3,b,b,True,0.8,False,A
119A42,gemma-3,e,e,True,0.95,False,A
119A44,gemma-3,d,e,False,0.8,False,A
119A45,gemma-3,c,c,True,0.8,False,A
119A46,gemma-3,d,d,True,0.9,False,A
119A47,gemma-3,b,b,True,0.9,False,A
119A53,gemma-3,d,c,False,0.85,False,A
119A55,gemma-3,c,a,False,0.9,False,A
119A56,gemma-3,a,a,True,0.9,False,A
119A57,gemma-3,c,c,True,0.8,False,A
119A64,gemma-3,b,b,True,0.9,False,A
119A65,gemma-3,b,c,False,0.9,False,A
119A68,gemma-3,b,b,True,0.9,False,A
119A71,gemma-3,ae,ae,True,0.9,False,A
119A72,gemma-3,ce,ce,True,0.9,False,A
119A75,gemma-3,a,600,False,0.95,False,A
