question_number,question_text,choices,o1_answer,o1_explanation,o1_confidence,gpt-4o_answer,gpt-4o_explanation,gpt-4o_confidence,o3-mini_answer,o3-mini_explanation,o3-mini_confidence,gemini_answer,gemini_explanation,gemini_confidence,deepseek_answer,deepseek_explanation,claude_answer,claude_explanation,claude_confidence,deepseek_confidence
119B1,疾患とその俗称の組合せで正しいのはどれか。 ,a. 鶏眼 - うおのめ | b. 色素性母斑 - とびひ | c. 水痘 - みずいぼ | d. 麦粒腫 - そばかす | e. 風疹 - はしか,a,鶏眼（けいがん）は俗に「うおのめ」と呼ばれるため。,1.0,a,「鶏眼」という疾患は俗に「うおのめ」と呼ばれています。他の選択肢はそれぞれの疾患と俗称が一致していません。,1.0,a,鶏眼は足の硬くなった部分を指し、その俗称として「うおのめ」が知られている。その他の選択肢は疾患と俗称の組合せが誤っているため、正しいのはaである。,1.0,a,鶏眼はうおのめのことを指します。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),a,鶏眼（けいがん）は「うおのめ」という俗称で広く知られています。他の組み合わせは誤りで、正しくは以下の通りです：,0.95,
119B2,根拠に基づいた医療〈EBM〉を実践する過程に含まれないのはどれか。 ,a. 患者への適用 | b. 文献情報の収集 | c. 文献の批判的吟味 | d. 患者の問題の定式化 | e. 個人の経験に依存した判断,e,ebmは文献検索や批判的吟味、患者への適用などのプロセスを重視し、個人の経験のみで判断することはプロセスに含まれないため。,1.0,e,根拠に基づいた医療（ebm）の実践は、文献情報を収集し、それを批判的に吟味し、患者の具体的な問題に当てはめて適用する過程を含みます。個人の経験に依存した判断は、ebmの理念に反するため、この選択肢が含まれません。,1.0,e,根拠に基づいた医療（ebm）では、患者の問題の定式化、文献情報の収集、文献の批判的吟味、そしてその結果を患者に適用することが含まれます。一方、個人の経験に依存した判断はebmのプロセスには含まれません。,1.0,e,ebmは、個人の経験ではなく、最新のエビデンスに基づいた判断を重視します。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),e,ebmは科学的根拠に基づいた医療実践であり、個人の経験のみに依存した判断は ebmの基本原則に反します。ebmの実践過程は、①臨床上の疑問の定式化、②文献検索、③批判的吟味、④患者への適用、⑤評価という5つのステップで構成されます。,0.9,
119B3,在宅医療で正しいのはどれか。 ,a. 緩和ケアは在宅医療の中で実施できる。 | b. 緊急時に行う在宅医療は訪問診療と呼ばれる。 | c. 使用した注射針は一般廃棄物として処理する。 | d. 我が国では病院よりも在宅で死亡する場合が多い。 | e. 訪問看護を利用する場合は介護保険よりも医療保険が優先される。,a,緩和ケアは在宅医療でも実施可能であるため。,0.9,a,緩和ケアは、在宅医療の一環として患者の自宅で実施することができるため、選択肢aが正しいと考えられます。緊急時の医療は往診と呼ばれることが一般的であり、訪問診療は計画的に行われるため、bは誤りです。使用済みの注射針は医療廃棄物として適切に処理されるべきであり、cは不適切です。日本における在宅での死亡率は病院を下回っており、dも誤りです。訪問看護の場合、医療保険と介護保険のどちらが適用されるかはケースバイケースですが、医療保険が優先されるとは限りません。このため、eも必ずしも正しくありません。,0.9,a,在宅医療は、病院外での医療提供体制の一環として、緩和ケア（ホスピスケア）も行える点が特徴です。その他の選択肢について、,1.0,a,緩和ケアは在宅医療で実施可能です。在宅での緩和ケアは、患者とその家族が住み慣れた環境で質の高いケアを受けられるようにすることを目的としています。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),a,在宅医療において、緩和ケアは十分に実施可能です。一方、b.は訪問診療と往診の定義が逆、c.は医療廃棄物として適切な処理が必要、d.は現状では病院死が多数、e.は原則として介護保険が優先されます（特定疾病等を除く）。,0.9,
119B4,老人性難聴で正しいのはどれか。 ,a. 耳鳴は伴わないことが多い。 | b. 聴力低下は高音から始まる。 | c. 伝音難聴を示すことが多い。 | d. 補聴器の使用は極力避ける。 | e. 純音聴力検査で左右非対称性の難聴を示す。,b,老人性難聴は主に高音域から聴力が低下する感音難聴であり、左右対称性に進行する。,1.0,b,老人性難聴は加齢に伴う感音難聴で、一般的に高音域から聴力低下が始まります。これは内耳の変性に伴いやすい特徴です。他の選択肢のうち、老人性難聴には耳鳴が伴うことが多く、伝音難聴は典型的ではなく、補聴器は適切に使用されるべきです。また、左右対称に起こるのが一般的です。,0.9,b,老人性難聴は主に感音性難聴で、高音域からの聴力低下が初期に現れ、往々にして耳鳴りを伴うため、補聴器の使用などで対処する。このため、選択肢bが正しい。,1.0,b,老人性難聴は、加齢に伴い高音域から聴力が低下する感音難聴です。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),b,老人性難聴（加齢性難聴）は、以下の特徴を持ちます：,0.9,
119B5,都道府県が設置主体でないのはどれか。 ,a. 児童相談所 | b. 医療安全支援センター | c. 精神保健福祉センター | d. 地域医療支援センター | e. 地域包括支援センター,e,地域包括支援センターは市町村（基礎自治体）が設置主体であり、都道府県ではないため。,1.0,e,地域包括支援センターは、市町村が設置主体であることが一般的で、地域の高齢者支援を目的としています。他の選択肢は都道府県が設置することが多いため、選択肢eが正解です。,0.9,e,地域包括支援センターは市町村が設置主体であり、他の選択肢は都道府県が設置主体となっているため。,1.0,e,地域包括支援センターは市町村が設置主体である。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),e,地域包括支援センターは市町村が設置主体です。他の選択肢（児童相談所、医療安全支援センター、精神保健福祉センター、地域医療支援センター）は都道府県が設置主体となっています。,0.9,
119B6,改訂長谷川式簡易知能評価スケールの項目に含まれないのはどれか。 ,a. 計算 | b. 見当識 | c. 物品記銘 | d. 数字の逆唱 | e. 立方体の模写,e,改訂長谷川式簡易知能評価スケールには図形模写（立方体の模写）の項目は含まれないため。,0.95,e,改訂長谷川式簡易知能評価スケールは、記憶や認知の簡易評価を目的とし、見当識や記銘力などを評価しますが、立方体の模写のような視空間認知の評価は含まれていないため、選択肢eが正解です。,0.9,e,改訂長谷川式簡易知能評価スケールは、計算、見当識、物品記銘など言語や記憶に関する項目で構成されていますが、視空間的構成能力を評価する立方体の模写は含まれていません。,1.0,e,改訂長谷川式簡易知能評価スケール（hds-r）は、見当識、記憶、計算、言語の要素を評価する。立方体の模写は含まれない。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),d,改訂長谷川式簡易知能評価スケール（hds-r）の項目は、年齢・日時の見当識、場所の見当識、3単語の記銘、計算（100-7の連続引き算）、数字の順唱、3単語の遅延再生、5つの物品記銘、言語の流暢性、物品呼称、立方体の模写です。数字の逆唱は含まれていません。これはmmse（mini-mental state examination）に含まれる項目です。,0.9,
119B7,医師の言葉がけで最も共感的なのはどれか。 ,a. 「夜は眠れていますか」 | b. 「元気を出してくださいよ」 | c. 「痛み止めを処方しますね」 | d. 「私がなんとかしましょう」 | e. 「心身ともにおつらいですね」,e,患者の身体的・精神的なつらさを具体的に認め、寄り添った言葉が最も共感的だから。,0.9,e,「心身ともにおつらいですね」という言葉は、患者の苦しみを理解し共感していることを示す言葉として最も適切です。他の選択肢は症状の確認や励まし、治療の提案などであり、共感を示す言葉としてはeが最もふさわしいです。,0.9,e,選択肢eは、患者の心身の苦しみに寄り添い、共感を示しているため、最も共感的な言葉がけと考えられます。,1.0,e,患者のつらさを具体的に理解しようとする言葉がけが最も共感的である。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),e,「心身ともにおつらいですね」は患者の感情を理解し、認めていることを示す共感的な表現です。他の選択肢は、解決策の提示や単なる質問、励ましに留まっており、患者の感情に直接寄り添うものではありません。,0.9,
119B8,細菌培養検査の検体に適さないのはどれか。 ,a. 中間尿 | b. 尿道分泌物 | c. 導尿で採取した尿 | d. 腎瘻造設時に採取した尿 | e. 尿道留置カテーテルの集尿袋内の尿,e,集尿袋に溜まった尿は細菌の混入や増殖などにより検査として不適切であるため。,1.0,e,細菌培養検査のための検体として、尿道留置カテーテルの集尿袋内の尿は適していません。この尿は、カテーテルや集尿袋による外部環境との接触があるため、細菌汚染のリスクが高く、結果の信頼性を損なう可能性があります。他の選択肢は、比較的直接的に尿道または腎臓から採取された尿であり、正確な結果が得やすいです。,0.9,e,尿道留置カテーテルの集尿袋内の尿は、長期間カテーテルや収集袋内で細菌が付着・増殖しやすく、正確な細菌培養検査の検体としては不適当なため。,1.0,e,尿道留置カテーテルの集尿袋内の尿は、細菌汚染のリスクが高いため、細菌培養検査の検体として適さない。中間尿、尿道分泌物、導尿で採取した尿、腎瘻造設時に採取した尿は、適切な採取方法であれば検査に適している。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),e,尿道留置カテーテルの集尿袋内の尿は、長時間貯留により細菌が増殖し、実際の感染状態を正確に反映しないため、培養検査の検体として不適切です。他の選択肢は無菌的または適切な方法で採取された尿であり、信頼性の高い検査結果が得られます。,0.9,
119B9,胸部の模式図(別冊No.1)を別に示す。大動脈弁狭窄症で聴取される収縮期雑音の最強点はどれか。 ,a. 1 | b. 2 | c. 3 | d. 4 | e. 5,b,大動脈弁狭窄症の収縮期雑音は第2肋間胸骨右縁（大動脈弁領域）で最も強く聴取されるため。,1.0,a,大動脈弁狭窄症の収縮期雑音の最強点は、第2肋間胸骨右縁（選択肢a）で聴取されることが一般的です。,1.0,a,大動脈弁狭窄症では，収縮期雑音は大動脈領域で最も強く聴取されるため，胸骨右縁第2肋間に相当する「1」が正解となる。,1.0,b,大動脈弁狭窄症の収縮期雑音は、第2肋間胸骨右縁で最もよく聴取される。図の2が該当する。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),b,大動脈弁狭窄症の収縮期雑音は、第2肋間胸骨右縁（第2肋間胸骨右縁窩）で最強となります。これは模式図の位置2に相当します。この部位は大動脈弁の直上に位置し、狭窄による乱流音が最もよく伝導される場所です。,0.95,
119B10,我が国の医療保険制度で正しいのはどれか。 ,a. 外国籍でも加入できる。 | b. 財源は保険料より公費が多い。 | c. 療養の給付は現金給付である。 | d. 予防接種は保険給付の対象である。 | e. 保険医療機関は調剤を行う院外薬局を指定する。,a,日本の医療保険制度は、在留資格を有する外国籍の場合でも、一定の要件（3か月以上の在留など）を満たせば加入が可能であるため。,1.0,a,我が国の医療保険制度においては、日本に居住する外国籍の人も条件を満たせば加入することができる。一方、公費よりも保険料が主な財源であることや、療養の給付は通常現物給付であること、予防接種は通常保険給付の対象外であること、院外薬局は独立した指定を受けるため、これらの選択肢は正しくない。,0.8,a,日本の国民皆保険制度は、在留資格を有する外国籍の人も加入対象となっているため、aが正しい。一方、bは財源は主に保険料であり、cは現物給付（医療そのものが提供される）であって現金給付ではなく、dは予防接種は公衆衛生上の措置として別途実施され、保険給付の基本範囲には含まれない点、eは調剤を院内で行うケースも多く、必ずしも院外薬局を指定する制度ではないため不適当である。,1.0,a,我が国の医療保険制度は、一定の要件を満たす外国籍の方も加入できます。b: 財源は保険料が中心で、公費も投入されています。c: 療養の給付は原則として現物給付です。d: 予防接種は原則として保険給付の対象外です。e: 保険医療機関が特定の院外薬局を指定することはできません。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),a,日本の医療保険制度は国民皆保険制度であり、適法に在留する外国籍の人も加入が義務付けられています。他の選択肢については、b.財源は保険料が主、c.療養の給付は現物給付が原則、d.予防接種は原則保険適用外、e.薬局の指定は患者の自由選択が原則、とそれぞれ誤りです。,0.9,
