question_number,question_text,choices,has_image,deepseek_answer,deepseek_explanation,deepseek_confidence
119E1,症候と疾患の組合せで誤っているのはどれか。 ,a. 排尿障害 - 腰部脊柱管狭窄症 | b. 歩行障害 - 頸椎性脊髄症 | c. 腰背部痛 - 解離性大動脈瘤 | d. 下肢の冷感 - 深部静脈血栓症 | e. 膝関節腫脹 - 偽痛風,False,d,深部静脈血栓症は下肢の腫脹や発赤を特徴とし、冷感は動脈血流障害で生じる。閉塞性動脈硬化症などが下肢冷感の原因となる。,0.95
119E2,不当な差別、偏見その他の不利益が生じないように、その取扱いに特に配慮を要する個人情報はどれか。 ,a. 学歴 | b. 国籍 | c. 病歴 | d. 肌の色 | e. 職業的地位,False,c,個人情報保護法において「要配慮個人情報」に該当するのは病歴が明確に含まれる。肌の色（人種情報）も該当する可能性があるが、問題文に「2つ選べ」の指示がないため、最も確実な病歴（c）を選択した。,0.8
119E3,医療倫理の4原則に含まれないのはどれか。 ,a. 正義 | b. 善行 | c. 無危害 | d. 自律尊重 | e. 共同意思決定,False,e,医療倫理の4原則は「自律尊重」「善行」「無危害」「正義」であり、「共同意思決定」は原則ではなく具体的なプロセスに該当するため含まれない。,0.95
119E4,性感染症が疑われる患者に対して、性交渉歴に関する病歴聴取を行う場合に正しいのはどれか。 ,a. 初診時には聴取をしない。 | b. 性交渉相手の人数を確認する。 | c. 未成年の患者では保護者を同席させる。 | d. 配偶者との性交渉については聴取しない。 | e. 経口避妊薬を服用している患者には聴取しない。,False,b,性感染症のリスク評価には性交渉相手の人数が重要な情報となるためbが正しい。未成年でも保護者同席は患者の自己決定権を損なう可能性があり、配偶者や経口避妊薬に関する聴取も診断・治療に不可欠であるため他の選択肢は不適切。,0.95
119E5,ナルコレプシーの患者の訴えはどれか。 ,a. 「会議中に突然眠ってしまいます」 | b. 「毎日、明け方になるまで眠れません」 | c. 「毎晩、眠れないのではないかと不安になります」 | d. 「眠っている間に足がぴくぴく動いていると妻に言われます」 | e. 「夜中に知らないうちに冷蔵庫の中のものを食べているみたいです」,False,a,"ナルコレプシーの主症状は日中の過度の眠気や突然の睡眠発作であり、選択肢aはこれに該当する。他の選択肢は不眠症(b,c)、周期性四肢運動障害(d)、睡眠関連摂食障害(e)を示唆しており、ナルコレプシーの特徴ではない。",0.95
119E6,腰椎穿刺法による脳脊髄液検査を行う。成人患者への説明で誤っているのはどれか。 ,a. 「うつぶせの姿勢で行います」 | b. 「事前に血液検査を行います」 | c. 「下肢に痛みが走ることがあります」 | d. 「事前に眼底検査か頭部画像検査を行います」 | e. 「検査後に立位で悪化する頭痛が起きることがあります」,False,a,腰椎穿刺は通常、側臥位（横向き）または座位で実施される。選択肢aの「うつぶせ」は誤った体位説明である。他の選択肢は適切な事前検査や合併症の説明として正しい。,0.95
119E7,医師のプロフェッショナリズムで誤っているのはどれか。 ,a. 科学的根拠を追究する。 | b. 自己の利益を追求する。 | c. 社会のニーズに応える。 | d. 患者の感情に共感を示す。 | e. 医療資源の有限性に配慮する。,False,b,医師のプロフェッショナリズムでは患者中心の倫理が求められ、自己利益の追求は相反する。他選択肢はプロフェッショナリズムの要件（科学性・社会貢献・共感・資源配慮）を適切に反映している。,0.95
119E8,ある患者の採血結果で、血清K値が7.0mEq/Lであると検査室から連絡があった。血液検査の再検に加えて、まず行うべき検査はどれか。 ,a. 血糖測定 | b. 腹部単純 | c. TC心エコー検査 | d. 12誘導心電図検査 | e. 胸部エックス線撮影,False,d,高カリウム血症（k 7.0meq/l）では心毒性リスクが高く、緊急に心電図変化（テント状t波、qrs幅延長など）の評価が必要である。12誘導心電図検査は心筋への影響を直接評価する最も優先度の高い検査である。,0.95
119E9,強迫性障害〈強迫症〉の患者にみられる強迫行為で正しいのはどれか。 ,a. 症状に日内変動がある。 | b. 強迫行為中の記憶がない。 | c. 患者は強迫行為を合理的であると考えている。 | d. 「手を洗いなさい」などの命令性幻聴に従って行われる。 | e. 強迫観念によって生じる不安を予防あるいは緩和する目的で行われる。,False,e,強迫行為は強迫観念によって引き起こされる不安を軽減する目的で行われる。選択肢eが該当し、他の選択肢は解離性障害や統合失調症、または強迫性障害の特徴と矛盾する。,0.95
119E10,チーム医療で正しいのはどれか。 ,a. 事務職員も参加できる。 | b. 医師の指示が最優先される。 | c. 医療機関の経営業績の向上が目的である。 | d. チーム全員の意見が一致する必要がある。 | e. 単一の医療機関内で完結することが推奨されている。,False,a,チーム医療には多職種が参加し、事務職員も管理や調整などの役割で参加可能である。他方、医師の絶対的優位性（b）や経営目的（c）、全員一致の強制（d）、単一機関限定（e）はチーム医療の原則に反する。,0.95
