question_number,question_text,choices,has_image,deepseek_answer,deepseek_explanation,deepseek_confidence
119B1,疾患とその俗称の組合せで正しいのはどれか。 ,a. 鶏眼 - うおのめ | b. 色素性母斑 - とびひ | c. 水痘 - みずいぼ | d. 麦粒腫 - そばかす | e. 風疹 - はしか,False,a,鶏眼は「うおのめ」の正式名称。他の選択肢は俗称と疾患の関連性が誤り（例：とびひは伝染性膿痂疹、みずいぼは伝染性軟属腫、そばかすは雀卵斑、はしかは麻疹）。,0.98
119B2,根拠に基づいた医療〈EBM〉を実践する過程に含まれないのはどれか。 ,a. 患者への適用 | b. 文献情報の収集 | c. 文献の批判的吟味 | d. 患者の問題の定式化 | e. 個人の経験に依存した判断,False,e,ebmの過程には「患者の問題の定式化」「文献情報の収集」「文献の批判的吟味」「患者への適用」が含まれるが、「個人の経験に依存した判断」はebmが明示的に排除する要素ではないものの、ebmの「プロセス」としては体系的ステップに含まれないため。,0.95
119B3,在宅医療で正しいのはどれか。 ,a. 緩和ケアは在宅医療の中で実施できる。 | b. 緊急時に行う在宅医療は訪問診療と呼ばれる。 | c. 使用した注射針は一般廃棄物として処理する。 | d. 我が国では病院よりも在宅で死亡する場合が多い。 | e. 訪問看護を利用する場合は介護保険よりも医療保険が優先される。,False,a,緩和ケアは在宅医療で実施可能である（aは正）。訪問看護の保険優先は介護保険が原則でeは誤り。他選択肢も内容が不正確。,0.95
119B4,老人性難聴で正しいのはどれか。 ,a. 耳鳴は伴わないことが多い。 | b. 聴力低下は高音から始まる。 | c. 伝音難聴を示すことが多い。 | d. 補聴器の使用は極力避ける。 | e. 純音聴力検査で左右非対称性の難聴を示す。,False,b,"老年性難聴は加齢による内耳の蝸牛有毛細胞の障害が主原因であり、高音域（4,000hz付近）から聴力低下が始まる特徴がある。伝音難聴（c）ではなく感音難聴が主体であり、一般的に両側対称性（e非対称性は誤り）で進行する。耳鳴を伴うことも多いため（a誤り）、補聴器の適切な使用が推奨される（d誤り）。",0.95
119B5,都道府県が設置主体でないのはどれか。 ,a. 児童相談所 | b. 医療安全支援センター | c. 精神保健福祉センター | d. 地域医療支援センター | e. 地域包括支援センター,False,e,地域包括支援センターは介護保険法に基づき市町村が設置主体であり、他の選択肢（a: 児童相談所、b: 医療安全支援センター、c: 精神保健福祉センター、d: 地域医療支援センター）は都道府県が関与する。地域医療支援センターは都道府県が「指定」するが設置主体は医療機関であり、厳密には都道府県が直接設置する機関ではないが、問題の意図から最も明確に市町村設置であるeを選択。,0.95
119B6,改訂長谷川式簡易知能評価スケールの項目に含まれないのはどれか。 ,a. 計算 | b. 見当識 | c. 物品記銘 | d. 数字の逆唱 | e. 立方体の模写,False,e,改訂長谷川式簡易知能評価スケール(hds-r)では立方体の模写は項目に含まれず、代わりに交差した五角形の模写が用いられる。計算（例：100-7）、見当識（日時・場所）、物品記銘（3物品の記憶）、数字の逆唱は標準項目として含まれる。,0.95
119B7,医師の言葉がけで最も共感的なのはどれか。 ,a. 「夜は眠れていますか」 | b. 「元気を出してくださいよ」 | c. 「痛み止めを処方しますね」 | d. 「私がなんとかしましょう」 | e. 「心身ともにおつらいですね」,False,e,選択肢eは患者の身体的・精神的苦痛を認め共感を示しており、他の選択肢に比べて最も共感的な対応である。他選択肢は情報収集（a）、安易な励まし（b）、具体的対応（c）、過剰な関与（d）で共感の要素が弱い。,0.95
119B8,細菌培養検査の検体に適さないのはどれか。 ,a. 中間尿 | b. 尿道分泌物 | c. 導尿で採取した尿 | d. 腎瘻造設時に採取した尿 | e. 尿道留置カテーテルの集尿袋内の尿,False,e,尿道留置カテーテルの集尿袋内の尿は長時間経過しており細菌の増殖や混入が起きやすいため、培養検体として適さない。他の選択肢はいずれも適切な検体採取方法である。,0.95
119B9,胸部の模式図(別冊No.1)を別に示す。大動脈弁狭窄症で聴取される収縮期雑音の最強点はどれか。 ,a. 1 | b. 2 | c. 3 | d. 4 | e. 5,True,b,大動脈弁狭窄症の収縮期雑音の最強点は通常、右第2肋間胸骨右縁（大動脈弁領域）であり、一般的な聴診部位の番号付けでは選択肢b（2）が該当する。,0.95
119B10,我が国の医療保険制度で正しいのはどれか。 ,a. 外国籍でも加入できる。 | b. 財源は保険料より公費が多い。 | c. 療養の給付は現金給付である。 | d. 予防接種は保険給付の対象である。 | e. 保険医療機関は調剤を行う院外薬局を指定する。,False,a,日本の医療保険制度では住民登録がある外国籍者も加入可能。他の選択肢は誤り（保険財源は保険料が主、療養給付は現物給付、予防接種は原則保険外、薬局は患者が自由選択）。,0.95
