question_number,model,model_answer,correct_answer,is_correct,confidence
119B1,gemini-2.5-pro,a,a,True,1.0
119B2,gemini-2.5-pro,e,e,True,1.0
119B3,gemini-2.5-pro,a,a,True,1.0
119B4,gemini-2.5-pro,b,b,True,1.0
119B5,gemini-2.5-pro,e,e,True,1.0
119B6,gemini-2.5-pro,e,e,True,1.0
119B7,gemini-2.5-pro,e,e,True,0.95
119B8,gemini-2.5-pro,e,e,True,1.0
119B9,gemini-2.5-pro,a,a,True,1.0
119B10,gemini-2.5-pro,a,a,True,1.0
119B11,gemini-2.5-pro,e,e,True,1.0
119B12,gemini-2.5-pro,b,b,True,1.0
119B13,gemini-2.5-pro,d,d,True,1.0
119B14,gemini-2.5-pro,a,a,True,1.0
119B15,gemini-2.5-pro,e,e,True,1.0
119B16,gemini-2.5-pro,c,c,True,0.9
119B17,gemini-2.5-pro,e,e,True,1.0
119B18,gemini-2.5-pro,d,d,True,0.9
119B19,gemini-2.5-pro,d,d,True,0.9
119B20,gemini-2.5-pro,c,c,True,1.0
119B21,gemini-2.5-pro,e,e,True,1.0
119B22,gemini-2.5-pro,a,a,True,1.0
119B23,gemini-2.5-pro,b,b,True,1.0
119B24,gemini-2.5-pro,b,b,True,1.0
119B25,gemini-2.5-pro,b,b,True,1.0
119B26,gemini-2.5-pro,a,a,True,1.0
119B27,gemini-2.5-pro,d,d,True,0.95
119B28,gemini-2.5-pro,d,d,True,0.95
119B29,gemini-2.5-pro,b,e,False,0.9
119B30,gemini-2.5-pro,c,c,True,0.9
119B31,gemini-2.5-pro,a,a,True,1.0
119B32,gemini-2.5-pro,b,b,True,1.0
119B33,gemini-2.5-pro,e,e,True,1.0
119B34,gemini-2.5-pro,e,e,True,1.0
119B35,gemini-2.5-pro,a,a,True,1.0
119B36,gemini-2.5-pro,b,b,True,1.0
119B37,gemini-2.5-pro,c,c,True,1.0
119B38,gemini-2.5-pro,e,e,True,1.0
119B39,gemini-2.5-pro,e,e,True,1.0
119B40,gemini-2.5-pro,a,a,True,1.0
119B41,gemini-2.5-pro,b,b,True,1.0
119B42,gemini-2.5-pro,c,c,True,1.0
119B43,gemini-2.5-pro,b,b,True,1.0
119B44,gemini-2.5-pro,d,d,True,1.0
119B45,gemini-2.5-pro,d,e,False,1.0
119B46,gemini-2.5-pro,e,e,True,0.9
119B47,gemini-2.5-pro,b,b,True,1.0
119B48,gemini-2.5-pro,e,e,True,1.0
119B49,gemini-2.5-pro,b,b,True,1.0
119B50,gemini-2.5-pro,b,b,True,0.9
