question_number,model,model_answer,correct_answer,is_correct,confidence
119C1,gemini-2.5-pro,b,b,True,0.9
119C2,gemini-2.5-pro,d,d,True,0.9
119C3,gemini-2.5-pro,e,e,True,1.0
119C4,gemini-2.5-pro,d,d,True,1.0
119C5,gemini-2.5-pro,b,b,True,1.0
119C6,gemini-2.5-pro,d,d,True,0.8
119C7,gemini-2.5-pro,e,e,True,1.0
119C8,gemini-2.5-pro,d,d,True,1.0
119C9,gemini-2.5-pro,c,c,True,1.0
119C10,gemini-2.5-pro,d,d,True,0.9
119C11,gemini-2.5-pro,e,e,True,1.0
119C12,gemini-2.5-pro,e,e,True,1.0
119C13,gemini-2.5-pro,b,b,True,1.0
119C14,gemini-2.5-pro,e,e,True,1.0
119C15,gemini-2.5-pro,e,e,True,1.0
119C16,gemini-2.5-pro,a,a,True,0.5
119C17,gemini-2.5-pro,d,d,True,1.0
119C18,gemini-2.5-pro,a,a,True,0.0
119C19,gemini-2.5-pro,d,d,True,1.0
119C20,gemini-2.5-pro,c,c,True,1.0
119C21,gemini-2.5-pro,e,e,True,1.0
119C22,gemini-2.5-pro,e,e,True,1.0
119C23,gemini-2.5-pro,d,d,True,1.0
119C24,gemini-2.5-pro,e,e,True,1.0
119C25,gemini-2.5-pro,c,c,True,1.0
119C26,gemini-2.5-pro,e,e,True,1.0
119C27,gemini-2.5-pro,a,a,True,1.0
119C28,gemini-2.5-pro,e,e,True,1.0
119C29,gemini-2.5-pro,e,e,True,1.0
119C30,gemini-2.5-pro,d,d,True,1.0
119C31,gemini-2.5-pro,e,e,True,1.0
119C32,gemini-2.5-pro,be,be,True,0.9
119C33,gemini-2.5-pro,be,be,True,1.0
119C34,gemini-2.5-pro,ab,ab,True,1.0
119C35,gemini-2.5-pro,bde,bde,True,0.9
119C36,gemini-2.5-pro,d,d,True,1.0
119C37,gemini-2.5-pro,d,d,True,1.0
119C38,gemini-2.5-pro,e,e,True,0.9
119C39,gemini-2.5-pro,a,a,True,0.9
119C40,gemini-2.5-pro,c,c,True,0.95
119C41,gemini-2.5-pro,c,c,True,1.0
119C42,gemini-2.5-pro,a,a,True,0.9
119C43,gemini-2.5-pro,b,b,True,1.0
119C44,gemini-2.5-pro,b,b,True,1.0
119C45,gemini-2.5-pro,a,a,True,1.0
119C46,gemini-2.5-pro,a,a,True,0.9
119C47,gemini-2.5-pro,d,d,True,0.9
119C48,gemini-2.5-pro,c,c,True,1.0
119C49,gemini-2.5-pro,d,d,True,0.95
119C50,gemini-2.5-pro,c,c,True,1.0
119C51,gemini-2.5-pro,e,e,True,1.0
119C52,gemini-2.5-pro,d,d,True,1.0
119C53,gemini-2.5-pro,a,a,True,1.0
119C54,gemini-2.5-pro,c,c,True,0.95
119C55,gemini-2.5-pro,e,e,True,0.9
119C56,gemini-2.5-pro,b,b,True,1.0
119C57,gemini-2.5-pro,e,e,True,1.0
119C58,gemini-2.5-pro,ad,ad,True,0.9
119C59,gemini-2.5-pro,a,a,True,1.0
119C60,gemini-2.5-pro,d,d,True,1.0
119C61,gemini-2.5-pro,b,b,True,1.0
119C62,gemini-2.5-pro,c,c,True,1.0
119C63,gemini-2.5-pro,e,e,True,1.0
119C64,gemini-2.5-pro,a,a,True,1.0
119C65,gemini-2.5-pro,b,b,True,1.0
119C66,gemini-2.5-pro,e,e,True,1.0
119C67,gemini-2.5-pro,d,d,True,1.0
119C68,gemini-2.5-pro,a,a,True,0.9
119C69,gemini-2.5-pro,e,e,True,0.9
119C70,gemini-2.5-pro,e,e,True,1.0
119C71,gemini-2.5-pro,a,a,True,1.0
119C72,gemini-2.5-pro,c,c,True,1.0
119C73,gemini-2.5-pro,a,a,True,0.9
119C74,gemini-2.5-pro,36,36,True,1.0
119C75,gemini-2.5-pro,27,27,True,1.0
