question_number,model,model_answer,correct_answer,is_correct,confidence,block
119B1,gemini-2.5-pro,a,a,True,1.0,B
119B2,gemini-2.5-pro,e,e,True,1.0,B
119B3,gemini-2.5-pro,a,a,True,1.0,B
119B4,gemini-2.5-pro,b,b,True,1.0,B
119B5,gemini-2.5-pro,e,e,True,1.0,B
119B6,gemini-2.5-pro,e,e,True,1.0,B
119B7,gemini-2.5-pro,e,e,True,0.95,B
119B8,gemini-2.5-pro,e,e,True,1.0,B
119B9,gemini-2.5-pro,a,a,True,1.0,B
119B10,gemini-2.5-pro,a,a,True,1.0,B
119B11,gemini-2.5-pro,e,e,True,1.0,B
119B12,gemini-2.5-pro,b,b,True,1.0,B
119B13,gemini-2.5-pro,d,d,True,1.0,B
119B14,gemini-2.5-pro,a,a,True,1.0,B
119B15,gemini-2.5-pro,e,e,True,1.0,B
119B16,gemini-2.5-pro,c,c,True,0.9,B
119B17,gemini-2.5-pro,e,e,True,1.0,B
119B18,gemini-2.5-pro,d,d,True,0.9,B
119B19,gemini-2.5-pro,d,d,True,0.9,B
119B20,gemini-2.5-pro,c,c,True,1.0,B
119B21,gemini-2.5-pro,e,e,True,1.0,B
119B22,gemini-2.5-pro,a,a,True,1.0,B
119B23,gemini-2.5-pro,b,b,True,1.0,B
119B24,gemini-2.5-pro,b,b,True,1.0,B
119B25,gemini-2.5-pro,b,b,True,1.0,B
119B26,gemini-2.5-pro,a,a,True,1.0,B
119B27,gemini-2.5-pro,d,d,True,0.95,B
119B28,gemini-2.5-pro,d,d,True,0.95,B
119B29,gemini-2.5-pro,b,e,False,0.9,B
119B30,gemini-2.5-pro,c,c,True,0.9,B
119B31,gemini-2.5-pro,a,a,True,1.0,B
119B32,gemini-2.5-pro,b,b,True,1.0,B
119B33,gemini-2.5-pro,e,e,True,1.0,B
119B34,gemini-2.5-pro,e,e,True,1.0,B
119B35,gemini-2.5-pro,a,a,True,1.0,B
119B36,gemini-2.5-pro,b,b,True,1.0,B
119B37,gemini-2.5-pro,c,c,True,1.0,B
119B38,gemini-2.5-pro,e,e,True,1.0,B
119B39,gemini-2.5-pro,e,e,True,1.0,B
119B40,gemini-2.5-pro,a,a,True,1.0,B
119B41,gemini-2.5-pro,b,b,True,1.0,B
119B42,gemini-2.5-pro,c,c,True,1.0,B
119B43,gemini-2.5-pro,b,b,True,1.0,B
119B44,gemini-2.5-pro,d,d,True,1.0,B
119B45,gemini-2.5-pro,d,e,False,1.0,B
119B46,gemini-2.5-pro,e,e,True,0.9,B
119B47,gemini-2.5-pro,b,b,True,1.0,B
119B48,gemini-2.5-pro,e,e,True,1.0,B
119B49,gemini-2.5-pro,b,b,True,1.0,B
119B50,gemini-2.5-pro,b,b,True,0.9,B
119E1,gemini-2.5-pro,d,d,True,1.0,E
119E2,gemini-2.5-pro,c,c,True,1.0,E
119E3,gemini-2.5-pro,e,e,True,1.0,E
119E4,gemini-2.5-pro,b,b,True,1.0,E
119E5,gemini-2.5-pro,a,a,True,1.0,E
119E6,gemini-2.5-pro,a,a,True,1.0,E
119E7,gemini-2.5-pro,b,b,True,1.0,E
119E8,gemini-2.5-pro,d,d,True,1.0,E
119E9,gemini-2.5-pro,e,e,True,1.0,E
119E10,gemini-2.5-pro,a,a,True,0.95,E
119E11,gemini-2.5-pro,e,e,True,1.0,E
119E12,gemini-2.5-pro,e,e,True,0.8,E
119E13,gemini-2.5-pro,e,e,True,1.0,E
119E14,gemini-2.5-pro,a,a,True,0.9,E
119E15,gemini-2.5-pro,c,c,True,1.0,E
119E16,gemini-2.5-pro,e,e,True,1.0,E
119E17,gemini-2.5-pro,a,a,True,1.0,E
119E18,gemini-2.5-pro,d,d,True,0.9,E
119E19,gemini-2.5-pro,e,e,True,1.0,E
119E20,gemini-2.5-pro,d,d,True,1.0,E
119E21,gemini-2.5-pro,e,e,True,1.0,E
119E22,gemini-2.5-pro,a,a,True,0.9,E
119E23,gemini-2.5-pro,a,a,True,1.0,E
119E24,gemini-2.5-pro,e,e,True,1.0,E
119E25,gemini-2.5-pro,d,d,True,1.0,E
119E26,gemini-2.5-pro,b,b,True,1.0,E
119E27,gemini-2.5-pro,d,d,True,1.0,E
119E28,gemini-2.5-pro,a,ac,True,1.0,E
119E29,gemini-2.5-pro,b,b,True,1.0,E
119E30,gemini-2.5-pro,b,b,True,1.0,E
119E31,gemini-2.5-pro,e,e,True,1.0,E
119E32,gemini-2.5-pro,d,d,True,0.95,E
119E33,gemini-2.5-pro,c,c,True,1.0,E
119E34,gemini-2.5-pro,e,e,True,1.0,E
119E35,gemini-2.5-pro,d,d,True,1.0,E
119E36,gemini-2.5-pro,e,e,True,1.0,E
119E37,gemini-2.5-pro,c,c,True,1.0,E
119E38,gemini-2.5-pro,c,c,True,0.95,E
119E39,gemini-2.5-pro,e,e,True,1.0,E
119E40,gemini-2.5-pro,b,b,True,1.0,E
119E41,gemini-2.5-pro,a,a,True,1.0,E
119E42,gemini-2.5-pro,e,e,True,1.0,E
119E43,gemini-2.5-pro,c,c,True,1.0,E
119E44,gemini-2.5-pro,e,e,True,1.0,E
119E45,gemini-2.5-pro,e,e,True,1.0,E
119E46,gemini-2.5-pro,e,e,True,1.0,E
119E47,gemini-2.5-pro,e,e,True,0.9,E
119E48,gemini-2.5-pro,e,e,True,0.9,E
119E49,gemini-2.5-pro,e,e,True,1.0,E
119E50,gemini-2.5-pro,c,c,True,1.0,E
