question_number,model,model_answer,correct_answer,is_correct,confidence,has_image,block,is_general,is_required,score,possible
119A7,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,b,e,False,0.95,False,A,True,False,0,1
119A10,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,ae,a,False,1.0,False,A,True,False,0,1
119A12,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,g,ce,False,1.0,False,A,True,False,0,1
119A16,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,c,d,False,1.0,False,A,True,False,0,1
119A18,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,d,b,False,0.95,True,A,True,False,0,1
119A19,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,b,d,False,1.0,False,A,True,False,0,1
119A21,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,b,a,False,0.92,True,A,True,False,0,1
119A23,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,c,b,False,0.95,True,A,True,False,0,1
119A28,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,d,e,False,0.94,True,A,True,False,0,1
119A34,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,e,b,False,0.9,True,A,True,False,0,1
119A36,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,a,e,False,0.95,False,A,True,False,0,1
119A38,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,b,d,False,0.95,True,A,True,False,0,1
119A44,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,c,e,False,0.85,False,A,True,False,0,1
119A45,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,a,c,False,0.95,False,A,True,False,0,1
119A48,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,b,e,False,0.9,True,A,True,False,0,1
119A50,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,b,c,False,0.95,True,A,True,False,0,1
119A51,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,d,e,False,0.95,True,A,True,False,0,1
119A53,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,"急性血管腫殖性糸球体腎炎 (acute proliferative glomerulonephritis, agn)",c,False,,False,A,True,False,0,1
119A60,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,e,a,False,0.95,True,A,True,False,0,1
119A61,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,c,b,False,0.95,True,A,True,False,0,1
119A65,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,b,c,False,0.95,False,A,True,False,0,1
119A70,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,de,ae,False,0.9,True,A,True,False,0,1
119A71,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,de,ae,False,0.95,False,A,True,False,0,1
119B1,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,c,a,False,0.9,False,B,False,True,0,1
119B9,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,c,a,False,0.8,True,B,False,True,0,1
119B10,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,b,a,False,0.95,False,B,False,True,0,1
119B13,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,c,d,False,0.97,False,B,False,True,0,1
119B15,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,c,e,False,0.95,False,B,False,True,0,1
119B17,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,e. 能力（エネルギー）,e,False,,False,B,False,True,0,1
119B26,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,c,a,False,0.95,False,B,False,True,0,3
119B27,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,a,d,False,0.98,False,B,False,True,0,3
119B28,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,a,d,False,0.95,False,B,False,True,0,3
119B31,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,c,a,False,0.95,False,B,False,True,0,3
119B32,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,e,b,False,0.95,False,B,False,True,0,3
119B45,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,d,e,False,0.95,False,B,False,True,0,3
119B49,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,e,b,False,0.95,False,B,False,True,0,3
119C2,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,e,d,False,0.72,True,C,True,False,0,1
119C6,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,c,d,False,0.98,False,C,True,False,0,1
119C7,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,a,e,False,0.9,False,C,True,False,0,1
119C10,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,b,d,False,0.98,False,C,True,False,0,1
119C12,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,de,e,False,0.95,False,C,True,False,0,1
119C14,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,b,e,False,0.93,False,C,True,False,0,1
119C15,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-cpt-0.3:Q4_K_M,b,e,False,0.95,True,C,True,False,0,1
