question_number,model,model_answer,correct_answer,is_correct,confidence
119D1,gemini-2.5-pro,d,d,True,1.0
119D2,gemini-2.5-pro,b,b,True,1.0
119D3,gemini-2.5-pro,c,c,True,1.0
119D4,gemini-2.5-pro,b,b,True,1.0
119D5,gemini-2.5-pro,e,e,True,1.0
119D6,gemini-2.5-pro,c,c,True,1.0
119D7,gemini-2.5-pro,d,d,True,0.9
119D8,gemini-2.5-pro,b,b,True,0.9
119D9,gemini-2.5-pro,a,a,True,0.9
119D10,gemini-2.5-pro,d,d,True,1.0
119D11,gemini-2.5-pro,d,d,True,1.0
119D12,gemini-2.5-pro,cd,cd,True,1.0
119D13,gemini-2.5-pro,ab,ab,True,1.0
119D14,gemini-2.5-pro,be,be,True,1.0
119D15,gemini-2.5-pro,bcd,bcd,True,1.0
119D16,gemini-2.5-pro,d,a,False,1.0
119D17,gemini-2.5-pro,e,e,True,0.9
119D18,gemini-2.5-pro,e,e,True,1.0
119D19,gemini-2.5-pro,b,b,True,0.9
119D20,gemini-2.5-pro,a,a,True,1.0
119D21,gemini-2.5-pro,c,c,True,0.9
119D22,gemini-2.5-pro,c,c,True,1.0
119D23,gemini-2.5-pro,e,e,True,0.9
119D24,gemini-2.5-pro,d,d,True,1.0
119D25,gemini-2.5-pro,c,c,True,1.0
119D26,gemini-2.5-pro,c,c,True,1.0
119D27,gemini-2.5-pro,b,b,True,0.9
119D28,gemini-2.5-pro,e,e,True,0.9
119D29,gemini-2.5-pro,c,c,True,1.0
119D30,gemini-2.5-pro,e,e,True,1.0
119D31,gemini-2.5-pro,c,c,True,0.9
119D32,gemini-2.5-pro,c,c,True,1.0
119D33,gemini-2.5-pro,d,d,True,1.0
119D34,gemini-2.5-pro,e,e,True,1.0
119D35,gemini-2.5-pro,b,b,True,1.0
119D36,gemini-2.5-pro,e,e,True,0.95
119D37,gemini-2.5-pro,d,d,True,0.9
119D38,gemini-2.5-pro,e,e,True,0.95
119D39,gemini-2.5-pro,e,e,True,1.0
119D40,gemini-2.5-pro,a,a,True,1.0
119D41,gemini-2.5-pro,c,c,True,1.0
119D42,gemini-2.5-pro,d,d,True,1.0
119D43,gemini-2.5-pro,e,e,True,0.95
119D44,gemini-2.5-pro,b,b,True,1.0
119D45,gemini-2.5-pro,d,d,True,1.0
119D46,gemini-2.5-pro,e,e,True,1.0
119D47,gemini-2.5-pro,e,e,True,0.9
119D48,gemini-2.5-pro,e,e,True,0.95
119D49,gemini-2.5-pro,e,e,True,1.0
119D50,gemini-2.5-pro,b,b,True,1.0
119D51,gemini-2.5-pro,b,b,True,1.0
119D52,gemini-2.5-pro,a,a,True,0.9
119D53,gemini-2.5-pro,d,d,True,0.95
119D54,gemini-2.5-pro,c,c,True,0.9
119D55,gemini-2.5-pro,c,c,True,1.0
119D56,gemini-2.5-pro,d,d,True,1.0
119D57,gemini-2.5-pro,d,d,True,1.0
119D58,gemini-2.5-pro,e,e,True,0.95
119D59,gemini-2.5-pro,c,d,False,0.9
119D60,gemini-2.5-pro,c,c,True,1.0
119D61,gemini-2.5-pro,c,c,True,1.0
119D62,gemini-2.5-pro,e,e,True,1.0
119D63,gemini-2.5-pro,b,b,True,1.0
119D64,gemini-2.5-pro,e,e,True,0.9
119D65,gemini-2.5-pro,c,c,True,0.9
119D66,gemini-2.5-pro,b,b,True,1.0
119D67,gemini-2.5-pro,d,d,True,0.9
119D68,gemini-2.5-pro,d,d,True,0.95
119D69,gemini-2.5-pro,b,b,True,1.0
119D70,gemini-2.5-pro,be,be,True,1.0
119D71,gemini-2.5-pro,be,be,True,1.0
119D72,gemini-2.5-pro,bc,bc,True,1.0
119D73,gemini-2.5-pro,bc,bc,True,1.0
119D74,gemini-2.5-pro,bc,bc,True,0.95
119D75,gemini-2.5-pro,abc,abc,True,1.0
