question_number,model,model_answer,correct_answer,is_correct,confidence,has_image,block,is_general,is_required,score,possible
119A1,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,c,a,False,1.0,False,A,True,False,0,1
119A2,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,a,a,True,1.0,False,A,True,False,1,1
119A3,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,c,d,False,1.0,False,A,True,False,0,1
119A4,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,b,e,False,0.861392857142857,False,A,True,False,0,1
119A5,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,b,b,True,0.985134276,False,A,True,False,1,1
119A6,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,af,a,False,0.98,False,A,True,False,0,1
119A7,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,e,e,True,0.96,False,A,True,False,1,1
119A8,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,e,e,True,1.0,False,A,True,False,1,1
119A9,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,d,d,True,0.85,False,A,True,False,1,1
119A10,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,a,a,True,1.0,False,A,True,False,1,1
119A11,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,b,b,True,0.9932549417168043,True,A,True,False,1,1
119A12,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,ce,ce,True,0.959321468,False,A,True,False,1,1
119A13,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,cd,cd,True,0.815429271006,False,A,True,False,1,1
119A14,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,de,de,True,0.98,False,A,True,False,1,1
119A15,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,b,a,False,0.92,True,A,True,False,0,1
119A16,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,a,d,False,0.8162,False,A,True,False,0,1
119A17,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,c,c,True,1.0,False,A,True,False,1,1
119A18,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,b,b,True,1.0,True,A,True,False,1,1
119A19,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,d,d,True,1.0,False,A,True,False,1,1
119A20,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,a,a,True,0.947851216360117,True,A,True,False,1,1
119A21,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,a,a,True,1.0,True,A,True,False,1,1
119A22,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,d,c,False,0.962583384171449,True,A,True,False,0,1
119A23,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,b,b,True,0.95,True,A,True,False,1,1
119A24,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,e,e,True,0.872648,True,A,True,False,1,1
119A25,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,[選んだ回答(単数/複数/数値)],e,False,0.0,False,A,True,False,0,1
119A26,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,a,a,True,0.8,False,A,True,False,1,1
119A27,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,e,e,True,0.8657234298523977,False,A,True,False,1,1
119A28,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,e,e,True,0.978125,True,A,True,False,1,1
119A29,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,d,d,True,0.98,True,A,True,False,1,1
119A30,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,c,c,True,1.0,False,A,True,False,1,1
119A31,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,c,d,False,0.85,False,A,True,False,0,1
119A32,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,d,d,True,0.9582637414344436,False,A,True,False,1,1
119A33,ollama-models/Preferred-MedLLM-Qwen-72B-bf16.gguf:latest,d,c,False,1.0,True,A,True,False,0,1
