question_number,model,model_answer,correct_answer,is_correct,confidence,has_image,block,is_general,is_required,score,possible
119A1,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,a,a,True,0.95,False,A,True,False,1,1
119A2,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,a,a,True,0.98,False,A,True,False,1,1
119A3,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,d,d,True,0.95,False,A,True,False,1,1
119A4,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,e,e,True,0.95,False,A,True,False,1,1
119A5,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,b,b,True,0.95,False,A,True,False,1,1
119A6,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,a,a,True,1.0,False,A,True,False,1,1
119A7,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,a,e,False,0.95,False,A,True,False,0,1
119A8,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,e,e,True,0.92,False,A,True,False,1,1
119A9,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,d,d,True,0.95,False,A,True,False,1,1
119A10,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,ad,a,False,1.0,False,A,True,False,0,1
119A11,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,b,b,True,0.95,True,A,True,False,1,1
119A12,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,ce,ce,True,0.95,False,A,True,False,1,1
119A13,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,cd,cd,True,1.0,False,A,True,False,1,1
119A14,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,de,de,True,1.0,False,A,True,False,1,1
119A15,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,a,a,True,0.95,True,A,True,False,1,1
119A16,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,e,d,False,0.98,False,A,True,False,0,1
119A17,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,c,c,True,0.95,False,A,True,False,1,1
119A18,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,b,b,True,0.97,True,A,True,False,1,1
119A19,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,b,d,False,1.0,False,A,True,False,0,1
119A20,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,a,a,True,0.95,True,A,True,False,1,1
119A21,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,a,a,True,0.91,True,A,True,False,1,1
119A22,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,d,c,False,0.85,True,A,True,False,0,1
119A23,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,b,b,True,0.95,True,A,True,False,1,1
119A24,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,e,e,True,1.0,True,A,True,False,1,1
119A25,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,a,e,False,0.98,False,A,True,False,0,1
119A26,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,a,a,True,0.95,False,A,True,False,1,1
119A27,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,e,e,True,0.95,False,A,True,False,1,1
119A28,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,b,e,False,0.85,True,A,True,False,0,1
119A29,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,d,d,True,0.95,True,A,True,False,1,1
119A30,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,c,c,True,0.95,False,A,True,False,1,1
119A31,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,d,d,True,0.95,False,A,True,False,1,1
119A32,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,d,d,True,0.97,False,A,True,False,1,1
119A33,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,c,c,True,0.95,True,A,True,False,1,1
119A34,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,b,b,True,0.95,True,A,True,False,1,1
119A35,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,a,a,True,0.95,True,A,True,False,1,1
119A36,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,e,e,True,1.0,False,A,True,False,1,1
119A37,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,b,b,True,0.95,True,A,True,False,1,1
119A38,huggingface.co/doctorin/CA-DeepSeek-R1-D-Qwen-32B-Jp-sft-0.4:Q4_K_M,d,d,True,0.97,True,A,True,False,1,1
