question_number,model,model_answer,correct_answer,is_correct,confidence,has_image
119A1,gemma-3,c,a,False,0.9,False
119A2,gemma-3,a,a,True,0.95,False
119A3,gemma-3,d,d,True,0.95,False
119A4,gemma-3,e,e,True,0.95,False
119A5,gemma-3,b,b,True,0.9,False
119A6,gemma-3,b,a,False,0.9,False
119A7,gemma-3,e,e,True,0.95,False
119A8,gemma-3,e,e,True,0.95,False
119A9,gemma-3,c,d,False,0.9,False
119A10,gemma-3,a,a,True,0.95,False
119A11,gemma-3,b,b,True,0.9,True
119A12,gemma-3,ac,ce,False,0.95,False
119A13,gemma-3,cd,cd,True,0.95,False
119A14,gemma-3,de,de,True,0.95,False
119A15,gemma-3,e,a,False,0.8,True
119A16,gemma-3,d,d,True,0.8,False
119A17,gemma-3,c,c,True,0.9,False
119A18,gemma-3,a,b,False,0.8,True
119A19,gemma-3,b,d,False,0.95,False
119A20,gemma-3,a,a,True,0.95,True
119A21,gemma-3,a,a,True,0.8,True
119A22,gemma-3,b,c,False,0.8,True
119A23,gemma-3,b,b,True,0.95,True
119A24,gemma-3,e,e,True,0.9,True
119A25,gemma-3,e,e,True,0.9,False
119A26,gemma-3,a,a,True,0.9,False
119A27,gemma-3,e,e,True,0.95,False
119A28,gemma-3,d,e,False,0.95,True
119A29,gemma-3,d,d,True,0.8,True
119A30,gemma-3,c,c,True,0.9,False
119A31,gemma-3,d,d,True,0.95,False
119A32,gemma-3,d,d,True,0.9,False
119A33,gemma-3,c,c,True,0.9,True
119A34,gemma-3,b,b,True,0.9,True
119A35,gemma-3,a,a,True,0.85,True
119A36,gemma-3,c,e,False,0.9,False
119A37,gemma-3,b,b,True,0.95,True
119A38,gemma-3,b,d,False,0.8,True
119A39,gemma-3,e,e,True,0.9,False
119A40,gemma-3,a,a,True,0.9,False
119A41,gemma-3,b,b,True,0.8,False
119A42,gemma-3,e,e,True,0.95,False
119A43,gemma-3,b,b,True,0.9,True
119A44,gemma-3,d,e,False,0.8,False
119A45,gemma-3,c,c,True,0.8,False
119A46,gemma-3,d,d,True,0.9,False
119A47,gemma-3,b,b,True,0.9,False
119A48,gemma-3,a,e,False,0.9,True
119A49,gemma-3,d,d,True,0.9,True
119A50,gemma-3,a,c,False,0.9,True
119A51,gemma-3,c,e,False,0.9,True
119A52,gemma-3,c,d,False,0.85,True
119A53,gemma-3,d,c,False,0.85,False
119A54,gemma-3,a,d,False,0.8,True
119A55,gemma-3,c,a,False,0.9,False
119A56,gemma-3,a,a,True,0.9,False
119A57,gemma-3,c,c,True,0.8,False
119A58,gemma-3,a,c,False,0.8,True
119A59,gemma-3,a,a,True,0.9,True
119A60,gemma-3,e,a,False,0.8,True
119A61,gemma-3,c,b,False,0.9,True
119A62,gemma-3,b,e,False,0.9,True
119A63,gemma-3,d,d,True,0.8,True
119A64,gemma-3,b,b,True,0.9,False
119A65,gemma-3,b,c,False,0.9,False
119A66,gemma-3,d,d,True,0.85,True
119A67,gemma-3,e,e,True,0.95,True
119A68,gemma-3,b,b,True,0.9,False
119A69,gemma-3,e,e,True,0.95,True
119A70,gemma-3,ad,ae,False,0.9,True
119A71,gemma-3,ae,ae,True,0.9,False
119A72,gemma-3,ce,ce,True,0.9,False
119A73,gemma-3,be,be,True,0.9,True
119A74,gemma-3,ab,ab,True,0.9,True
119A75,gemma-3,a,600,False,0.95,False
