question_number,model,model_answer,correct_answer,is_correct,confidence,has_image,block,is_general,is_required,score,possible
119A4,openrouter-qwen/qwen-2.5-72b-instruct:free,b,e,False,1.0,False,A,True,False,0,1
119A15,openrouter-qwen/qwen-2.5-72b-instruct:free,e,a,False,0.85,True,A,True,False,0,1
119A16,openrouter-qwen/qwen-2.5-72b-instruct:free,c,d,False,0.9,False,A,True,False,0,1
119A19,openrouter-qwen/qwen-2.5-72b-instruct:free,b,d,False,0.95,False,A,True,False,0,1
119A22,openrouter-qwen/qwen-2.5-72b-instruct:free,d,c,False,0.8,True,A,True,False,0,1
119A36,openrouter-qwen/qwen-2.5-72b-instruct:free,a,e,False,1.0,False,A,True,False,0,1
119A42,openrouter-qwen/qwen-2.5-72b-instruct:free,de,e,False,0.95,False,A,True,False,0,1
119A44,openrouter-qwen/qwen-2.5-72b-instruct:free,c,e,False,0.8,False,A,True,False,0,1
119A48,openrouter-qwen/qwen-2.5-72b-instruct:free,a,e,False,0.9,True,A,True,False,0,1
119A51,openrouter-qwen/qwen-2.5-72b-instruct:free,d,e,False,0.85,True,A,True,False,0,1
119A52,openrouter-qwen/qwen-2.5-72b-instruct:free,c,d,False,0.85,True,A,True,False,0,1
119A60,openrouter-qwen/qwen-2.5-72b-instruct:free,e,a,False,0.8,True,A,True,False,0,1
119A65,openrouter-qwen/qwen-2.5-72b-instruct:free,b,c,False,0.9,False,A,True,False,0,1
119A67,openrouter-qwen/qwen-2.5-72b-instruct:free,c,e,False,0.85,True,A,True,False,0,1
119A75,openrouter-qwen/qwen-2.5-72b-instruct:free,0,600,False,1.0,False,A,True,False,0,1
119B6,openrouter-qwen/qwen-2.5-72b-instruct:free,d,e,False,1.0,False,B,False,True,0,1
119B18,openrouter-qwen/qwen-2.5-72b-instruct:free,c,d,False,1.0,False,B,False,True,0,1
119B27,openrouter-qwen/qwen-2.5-72b-instruct:free,e,d,False,0.85,False,B,False,True,0,3
119B29,openrouter-qwen/qwen-2.5-72b-instruct:free,b,e,False,0.8,False,B,False,True,0,3
119B38,openrouter-qwen/qwen-2.5-72b-instruct:free,c,e,False,0.9,False,B,False,True,0,3
119B40,openrouter-qwen/qwen-2.5-72b-instruct:free,e,a,False,0.9,False,B,False,True,0,3
119B41,openrouter-qwen/qwen-2.5-72b-instruct:free,c,b,False,0.8,False,B,False,True,0,3
119B49,openrouter-qwen/qwen-2.5-72b-instruct:free,be,b,False,0.95,False,B,False,True,0,3
119C2,openrouter-qwen/qwen-2.5-72b-instruct:free,a,d,False,1.0,True,C,True,False,0,1
119C3,openrouter-qwen/qwen-2.5-72b-instruct:free,d,e,False,1.0,False,C,True,False,0,1
119C6,openrouter-qwen/qwen-2.5-72b-instruct:free,c,d,False,1.0,False,C,True,False,0,1
119C8,openrouter-qwen/qwen-2.5-72b-instruct:free,b,d,False,0.85,False,C,True,False,0,1
119C10,openrouter-qwen/qwen-2.5-72b-instruct:free,c,d,False,0.85,False,C,True,False,0,1
119C12,openrouter-qwen/qwen-2.5-72b-instruct:free,be,e,False,1.0,False,C,True,False,0,1
119C14,openrouter-qwen/qwen-2.5-72b-instruct:free,c,e,False,1.0,False,C,True,False,0,1
119C15,openrouter-qwen/qwen-2.5-72b-instruct:free,c,e,False,1.0,True,C,True,False,0,1
119C17,openrouter-qwen/qwen-2.5-72b-instruct:free,abcde,d,False,1.0,False,C,True,False,0,1
119C18,openrouter-qwen/qwen-2.5-72b-instruct:free,d,a,False,0.9,False,C,True,False,0,1
119C19,openrouter-qwen/qwen-2.5-72b-instruct:free,b,d,False,1.0,False,C,True,False,0,1
119C28,openrouter-qwen/qwen-2.5-72b-instruct:free,b,e,False,0.85,False,C,True,False,0,1
119C38,openrouter-qwen/qwen-2.5-72b-instruct:free,b,e,False,0.9,False,C,True,False,0,1
119C41,openrouter-qwen/qwen-2.5-72b-instruct:free,b,c,False,0.85,False,C,True,False,0,1
119C42,openrouter-qwen/qwen-2.5-72b-instruct:free,c,a,False,0.85,True,C,True,False,0,1
119C49,openrouter-qwen/qwen-2.5-72b-instruct:free,e,d,False,0.9,True,C,True,False,0,1
119C52,openrouter-qwen/qwen-2.5-72b-instruct:free,c,d,False,1.0,False,C,True,False,0,1
119C55,openrouter-qwen/qwen-2.5-72b-instruct:free,b,e,False,0.8,False,C,True,False,0,1
119C57,openrouter-qwen/qwen-2.5-72b-instruct:free,b,e,False,0.85,True,C,True,False,0,1
119C74,openrouter-qwen/qwen-2.5-72b-instruct:free,29,36,False,1.0,False,C,True,False,0,1
119D2,openrouter-qwen/qwen-2.5-72b-instruct:free,d,b,False,0.9,True,D,True,False,0,1
119D10,openrouter-qwen/qwen-2.5-72b-instruct:free,c,d,False,0.85,True,D,True,False,0,1
119D17,openrouter-qwen/qwen-2.5-72b-instruct:free,c,e,False,0.9,True,D,True,False,0,1
119D18,openrouter-qwen/qwen-2.5-72b-instruct:free,a,e,False,0.85,True,D,True,False,0,1
119D19,openrouter-qwen/qwen-2.5-72b-instruct:free,c,b,False,0.85,True,D,True,False,0,1
119D21,openrouter-qwen/qwen-2.5-72b-instruct:free,b,c,False,0.9,True,D,True,False,0,1
119D24,openrouter-qwen/qwen-2.5-72b-instruct:free,c,d,False,0.85,True,D,True,False,0,1
119D36,openrouter-qwen/qwen-2.5-72b-instruct:free,b,e,False,0.9,False,D,True,False,0,1
119D39,openrouter-qwen/qwen-2.5-72b-instruct:free,a,e,False,0.8,False,D,True,False,0,1
119D47,openrouter-qwen/qwen-2.5-72b-instruct:free,a,e,False,0.85,True,D,True,False,0,1
119D52,openrouter-qwen/qwen-2.5-72b-instruct:free,d,a,False,0.9,False,D,True,False,0,1
119D54,openrouter-qwen/qwen-2.5-72b-instruct:free,b,c,False,0.9,True,D,True,False,0,1
119D55,openrouter-qwen/qwen-2.5-72b-instruct:free,e,c,False,0.95,False,D,True,False,0,1
119D58,openrouter-qwen/qwen-2.5-72b-instruct:free,d,e,False,0.95,False,D,True,False,0,1
119D59,openrouter-qwen/qwen-2.5-72b-instruct:free,c,d,False,0.9,True,D,True,False,0,1
119D63,openrouter-qwen/qwen-2.5-72b-instruct:free,d,b,False,1.0,True,D,True,False,0,1
119D66,openrouter-qwen/qwen-2.5-72b-instruct:free,a,b,False,0.95,False,D,True,False,0,1
119D67,openrouter-qwen/qwen-2.5-72b-instruct:free,e,d,False,0.9,True,D,True,False,0,1
119D68,openrouter-qwen/qwen-2.5-72b-instruct:free,a,d,False,0.85,True,D,True,False,0,1
119D72,openrouter-qwen/qwen-2.5-72b-instruct:free,bd,bc,False,1.0,False,D,True,False,0,1
119E2,openrouter-qwen/qwen-2.5-72b-instruct:free,bd,c,False,1.0,False,E,False,True,0,1
119E12,openrouter-qwen/qwen-2.5-72b-instruct:free,c,e,False,1.0,True,E,False,True,0,1
119E16,openrouter-qwen/qwen-2.5-72b-instruct:free,d,e,False,1.0,False,E,False,True,0,1
119E21,openrouter-qwen/qwen-2.5-72b-instruct:free,a,e,False,0.9,False,E,False,True,0,1
119E23,openrouter-qwen/qwen-2.5-72b-instruct:free,d,a,False,1.0,True,E,False,True,0,1
119E24,openrouter-qwen/qwen-2.5-72b-instruct:free,d,e,False,1.0,True,E,False,True,0,1
119E26,openrouter-qwen/qwen-2.5-72b-instruct:free,d,b,False,1.0,False,E,False,True,0,3
119E39,openrouter-qwen/qwen-2.5-72b-instruct:free,d,e,False,1.0,False,E,False,True,0,3
119F6,openrouter-qwen/qwen-2.5-72b-instruct:free,d,e,False,1.0,False,F,True,False,0,1
119F8,openrouter-qwen/qwen-2.5-72b-instruct:free,ace,a,False,1.0,False,F,True,False,0,1
119F23,openrouter-qwen/qwen-2.5-72b-instruct:free,d,e,False,1.0,False,F,True,False,0,1
119F29,openrouter-qwen/qwen-2.5-72b-instruct:free,ad,ab,False,0.95,False,F,True,False,0,1
119F30,openrouter-qwen/qwen-2.5-72b-instruct:free,ad,ac,False,1.0,False,F,True,False,0,1
119F31,openrouter-qwen/qwen-2.5-72b-instruct:free,ac,ad,False,1.0,False,F,True,False,0,1
119F38,openrouter-qwen/qwen-2.5-72b-instruct:free,c,e,False,0.85,True,F,True,False,0,1
119F47,openrouter-qwen/qwen-2.5-72b-instruct:free,a,c,False,0.9,False,F,True,False,0,1
119F58,openrouter-qwen/qwen-2.5-72b-instruct:free,bd,bc,False,0.95,False,F,True,False,0,1
119F61,openrouter-qwen/qwen-2.5-72b-instruct:free,ad,cd,False,0.85,False,F,True,False,0,1
119F66,openrouter-qwen/qwen-2.5-72b-instruct:free,bd,cd,False,1.0,False,F,True,False,0,1
119F67,openrouter-qwen/qwen-2.5-72b-instruct:free,ae,ce,False,0.9,False,F,True,False,0,1
119F71,openrouter-qwen/qwen-2.5-72b-instruct:free,d,e,False,0.9,False,F,True,False,0,1
119F73,openrouter-qwen/qwen-2.5-72b-instruct:free,bce,e,False,0.85,True,F,True,False,0,1
